TRIALS, THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
148,3965.92,9.73527,1456.170768,3.00078,806.153,1.79339059035707,3.8537064011037,578,1056,12.75,22.66,3881.84,132.169,1720,120.881,0,3.81,3.83,3.74,2878M,3.74,2878M,4,1830,5,51,458,28,170,2510,2.7,7,2879,133,5,35,9,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
30,11781.1,7.17321,6270.685066,2.47423,507.203,1.48159705025825,3.3621243816,0,957,41.48,41.82,13367.8,44.36,7480,95.5444,75005.6,24.91,37.94,3.43,684M,3.43,684M,15,3290,5,63,383,44,199,4490,7.2,2,1253,41,20,45,5,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
90,10471.9,9.03402,5159.857466,1.46117,1413.72,0.873626797192189,1.83039014922593,1102,1642,11.02,33.68,10245.8,50.2567,3620,45.5589,0,6.05,7.12,1.81,3212M,1.81,3212M,9,1260,5,87,470,20,121,4570,5.2,6,1969,66,11,48,7,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3,7128.05,14.6477,2341.361442,2.38134,919.535,1.3139556496899,3.03786668485185,696,1154,16.51,15,7215.04,71.0022,3410,53.0922,0,2.26,2.24,2.97,2247M,2.97,2247M,8,1870,1,66,438,26,103,3400,13.1,7,4519,75,4,47,10,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
27,9364.99,16.1736,2840.259021,3.03999,984.691,1.89348467533615,3.82188679607407,737,1325,2.36,14.86,9178.49,55.7822,3610,48.6833,0,1.83,1.79,3.75,1947M,3.75,1947M,8,7950,8,67,408,37,192,7130,2.5,6,2855,115,18,30,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
35,13473,9.2344,7250.561046,2.3905,1440.69,1.41374185480741,3.00240758617037,1044,1643,8.43,51.31,13211.5,38.7678,1400,39.7322,0,2.79,2.76,2.96,2150M,2.96,2150M,3,9970,7,42,409,45,100,5960,2,8,2906,74,19,11,9,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
200,13722.9,18.3814,3863.978137,2.01631,1095.74,1.24255535870064,2.57487559057778,804,1384,4.45,15.35,13426.9,38.1189,3310,42.9,0,2.11,2.07,2.5,2850M,2.5,2850M,23,1690,4,23,468,31,26,3070,2.7,7,3154,146,6,4,4,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
47,20494,23.5264,4692.293418,3.16892,1258.39,1.88715463203764,4.01801178315556,1182,1313,1.11,3.92,20103.3,25.4533,3270,25.8344,0,1.67,1.65,4,1673M,4,1673M,7,7460,8,12,415,43,141,5770,3.7,8,3286,70,14,14,10,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
4,18741.1,3.50232,29754.843168,2.87091,1338.27,1.79924647417277,3.6397842460037,1250,1401,4.89,15.16,18350.5,27.8533,3410,34.81,5122.22,2.07,1.86,3.56,2451M,3.56,2451M,27,190,7,37,357,30,82,6690,12.6,5,3046,119,16,26,7,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
9,3416.81,14.5972,2090.787654,2.65444,565.639,1.39878074725355,3.36814458758889,480,718,2.84,8.87,3337.97,153.477,3810,135.5,0,2.94,2.76,3.29,3148M,3.29,3148M,18,8120,4,18,468,18,47,5280,12.9,4,1077,167,13,13,5,2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
58,8294.7,20.3017,5879.772527,1.2186,1649.37,0.750948613359389,1.56100133973333,1035,1817,0.75,10.68,8150.45,62.8233,3610,49.9067,0,1.73,1.69,1.51,2843M,1.51,2843M,7,5580,9,63,466,44,200,8830,5.5,8,3075,54,13,27,9,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
