Build 109-110,INSTANCES,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,MAXINLINELEVEL,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE
No MM,1,0.692551333333333,479.5364,0.577197557466667,0.852942082544444,461,488,4996.76866666667,1.37535333333333,826.28,13.3047,0,0.1,32.91,3,1024M,3,1024M,,,,,
With MM,1,0.811822666666667,494.246166666667,0.695098234962963,0.997130793355555,441,558,4997.91,1.43682583333333,1480,16.1973,0,0.11,30.95,3,1024M,3,1024M,,,,,
