Build 111-112,INSTANCES,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,MAXINLINELEVEL,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE
No MM,1,0.758328307692308,480.757384615385,0.66578130037037,1.03125582129259,459,505,4994.11,1.43796615384615,1460,17.3813,0,0.08,29.98,3,1024M,3,1024M,,,,,
With MM,1,0.784724166666667,487.322416666667,0.692842694333333,0.935126193895121,460,508,5000.3375,1.51647,1480,17.2273,0,0.1,43.56,3,1024M,3,1024M,,,,,

