Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci
1,844.5,98.7778,546.241,2.07327,1.88082282127497,2.17044214803917,523,575,0,35, ,1.93,6.45,2.45,0.95
2,839.233,98.1111,557.99,2.06012,1.81042715432395,2.18655588653313,527,586,0,34, ,2.65,9.72,2.64,2.72
3,840.133,100,552.906,1.99822,1.62093208638375,2.10908557352186,543,568,0,9, ,1.77,6.95,1.42,1.01
4,848.289,96.6667,566.545,2.01065,1.77822684889125,2.25620285864718,533,615,0,50, ,1.65,7.61,2.97,2.4
5,863.778,90.7778,573.403,1.91538,1.75462035687147,1.99161509513004,549,603,0,13, ,1.28,5.32,1.73,0.86
6,852.622,96.6667,564.748,1.90394,1.5537023252325,2.134194926308,533,591,0,11, ,2.2,6.45,2.1,5.69
7,855.556,93.6667,566.97,1.98386,1.73057719940878,2.12274385433125,545,601,0,26, ,1.63,4.4,2.65,3.54
8,852.156,93.4444,556.062,2.01081,1.74360495676569,2.14106853595557,523,577,0,30, ,2.08,5.92,2.67,2.58
9,849.533,97.6667,561.092,1.96303,1.7305098173775,2.10098539883338,540,583,0,42, ,3.1,9.07,1.83,3.34
10,846.433,97.1111,565.319,1.9471,1.5815451909975,2.08860840920042,544,589,0,26, ,1.71,3.37,2.05,2.95
11,849.9,93.6667,581.236,1.93933,1.75226391085665,2.10155966065028,549,621,0,17, ,0.99,3.72,3.11,2.38
12,861.622,91.2222,553.987,2.00538,1.76873051000957,2.15274992268103,506,599,0,18, ,2.24,6.93,4.32,3.5
13,836.878,102.333,561.836,2.01014,1.72006018041976,2.13132910884809,555,576,0,18, ,3.13,14.35,0.57,1.29
14,854.367,92.8889,583.843,1.97411,1.79081626468558,2.08756144046889,561,614,0,17, ,2.47,7.43,1.68,2.59
15,846.9,98.8889,538.325,1.92726,1.72227325568625,2.04250251219938,526,573,0,13, ,3.37,10.26,1.75,1.79
16,831.044,106.444,577.706,1.92968,1.56638314600875,2.07616471429467,560,602,0,21, ,3.79,11.74,1.71,3.42
17,846.189,98.6667,548.957,1.8747,1.54524444432458,2.07970870294881,525,581,0,22, ,1.84,6.56,1.25,5.03
18,843.178,98.2222,552.185,1.9715,1.74644705017125,2.07205710228768,498,575,0,12, ,2.25,6.08,3.61,1.34
19,854.489,94.5556,576.41,1.96972,1.79280692184048,2.09193521406189,555,600,0,9, ,2.29,8.33,1.18,1.25
20,855.589,92,544.365,1.9331,1.47492129891,2.06988794555285,526,562,0,15, ,1.58,5.85,1.94,2.71
21,850.633,94.5556,540.511,1.92031,1.55466796152375,2.11419935929774,490,587,0,22, ,2.21,5.59,4.47,3.63
22,831.211,104.556,569.9,1.90654,1.68170955065025,2.07208133525474,530,609,0,15, ,5.4,15.81,3.79,3.28
23,843.133,100.111,554.448,1.95948,1.62753254448,2.10979287306884,520,569,0,9, ,1.41,6.18,1.46,1.61
24,842.922,97.8889,550.367,1.88449,1.72273057210093,2.03292867923615,532,598,0,20, ,2.46,6.24,2.77,2.86
25,839.322,100.333,582.503,1.95125,1.61533135638375,2.131259411248,545,611,0,14, ,2.76,9.26,3.6,2.54
26,839.689,100.778,587.669,1.93414,1.59295628798625,2.04510170308969,572,612,0,25, ,2.24,9.49,1.68,1.43
27,833.444,103.889,567.14,1.81121,1.534419331395,1.96939312413923,524,624,0,16, ,3.14,9.46,3.93,1.88
28,867.489,88.4444,551.887,1.87698,1.5043619467125,2.09819825811985,529,573,0,13, ,3.28,10.54,2.33,3.85
29,869.9,87.8889,557.872,1.89342,1.62654716421,2.04785476172095,527,590,0,11, ,1.75,6.84,3.29,3.69
30,851.967,93.5556,536.602,1.97069,1.77166018660961,2.0884946759882,517,561,0,10, ,1.36,7.15,2.03,1.46
31,862.256,90.3333,562.569,1.88872,1.60989073221775,2.02337581065207,535,594,0,44, ,2.46,7.18,2.79,4.28
32,856.267,95.7778,561.598,1.95199,1.76247352954614,2.04885937459772,538,587,0,41, ,2,7.54,2.58,1.79
33,824.178,111.889,553.551,1.89423,1.57511616610186,2.13519070802126,529,583,0,50, ,7.66,27.17,1.94,3.9
34,886.433,80,544.955,1.88415,1.606116558255,2.07366016426771,504,558,0,44, ,2.26,7.22,2.36,4.42
35,873.967,87.7778,555.818,1.94959,1.716313878045,2.12802276927735,537,585,0,44, ,2.27,9.42,1.13,3.45
36,857.5,91.4444,553.455,1.95902,1.61979943039875,2.11984694869089,517,575,0,36, ,2.5,9.98,1.45,2.58
37,874.444,85.4444,573.186,1.98738,1.84550648901771,2.10743995384437,541,616,0,45, ,2.63,8.34,2.44,1.02
38,843.644,99.3333,573.386,1.95327,1.73862168815563,2.06923791088232,554,598,0,46, ,4.06,13.88,2.01,2.21
39,858.722,89.5556,550.694,1.94391,1.72029127713706,2.13826392706951,516,568,0,38, ,1.68,6.75,1.71,3
40,872,87.8889,561.706,1.92282,1.73418870965249,2.05068439772236,520,582,0,47, ,2.01,7.32,2.56,2.61
41,864.567,90.2222,560.788,1.9035,1.69368985287756,2.05924470282896,536,596,0,47, ,2.9,9.07,2.8,3.05
42,856.589,94.1111,556.024,1.90032,1.66313840856539,2.11633648048066,525,585,0,48, ,2.87,8.01,3.14,3.68
