Trials,COMPOSITE_THRPT_PROM ,COMPOSITE_THRPT_WRK ,CPU_USAGE , MEM_USAGE , CPU_MIN , CPU_MAX , MEM_MIN , MEM_MAX ,db_THROUGHPUT_WRK , db_RESPONSETIME_WRK , db_RESPONSETIME_MAX_WRK , db_RESPONSETIME_STDEV_WRK , db_WEB_ERRORS , db_THRPT_WRK_CI , db_RSPTIME_WRK_CIi ,json_THROUGHPUT_WRK , json_RESPONSETIME_WRK , json_RESPONSETIME_MAX_WRK , json_RESPONSETIME_STDEV_WRK , json_WEB_ERRORS , json_THRPT_WRK_CI , json_RSPTIME_WRK_CIi ,fortunes_THROUGHPUT_WRK , fortunes_RESPONSETIME_WRK , fortunes_RESPONSETIME_MAX_WRK , fortunes_RESPONSETIME_STDEV_WRK , fortunes_WEB_ERRORS , fortunes_THRPT_WRK_CI , fortunes_RSPTIME_WRK_CIi ,plaintext_THROUGHPUT_WRK , plaintext_RESPONSETIME_WRK , plaintext_RESPONSETIME_MAX_WRK , plaintext_RESPONSETIME_STDEV_WRK , plaintext_WEB_ERRORS , plaintext_THRPT_WRK_CI , plaintext_RSPTIME_WRK_CIi ,queries_THROUGHPUT_WRK , queries_RESPONSETIME_WRK , queries_RESPONSETIME_MAX_WRK , queries_RESPONSETIME_STDEV_WRK , queries_WEB_ERRORS , queries_THRPT_WRK_CI , queries_RSPTIME_WRK_CIi ,updates_THROUGHPUT_WRK , updates_RESPONSETIME_WRK , updates_RESPONSETIME_MAX_WRK , updates_RESPONSETIME_STDEV_WRK , updates_WEB_ERRORS , updates_THRPT_WRK_CI , updates_RSPTIME_WRK_CIi ,THROUGHPUT_DB , RSP_TIME_DB , MAX_RSP_TIME_DB , THRPT_DB_CI , RSP_TIME_DB_CI ,THROUGHPUT_JSON , RSP_TIME_JSON , MAX_RSP_TIME_JSON , THRPT_JSON_CI , RSP_TIME_JSON_CI ,THROUGHPUT_FORTUNES , RSP_TIME_FORTUNES , MAX_RSP_TIME_FORTUNES , THRPT_FORTUNES_CI , RSP_TIME_FORTUNES_CI ,THROUGHPUT_PLAINTEXT , RSP_TIME_PLAINTEXT , MAX_RSP_TIME_PLAINTEXT , THRPT_PLAINTEXT_CI , RSP_TIME_PLAINTEXT_CI ,THROUGHPUT_QUERIES , RSP_TIME_QUERIES , MAX_RSP_TIME_QUERIES , THRPT_QUERIES_CI , RSP_TIME_QUERIES_CI ,THROUGHPUT_UPDATES , RSP_TIME_UPDATES , MAX_RSP_TIME_UPDATES , THRPT_UPDATES_CI , RSP_TIME_UPDATES_CI ,CPU_REQ , MEM_REQ , CPU_LIM , MEM_LIM ,IMAGE
baseline1,205441.358056667,85589.1831366667,2.96128,1280.76,2.74058050622222,3.20452748364074,1007,1379,24448.8,21.0125,301.99,24.9925,0,13.94,13.92,45143.2,11.38,65.01,8.965,0,12.9,12.92,16148,31.7975,337.64,32.2,0,13.22,13.18,46477.6,11.0525,60.56,7.7375,0,13,13.04,4374.35,117.532,331.35,21.985,0,11.18,11.21,3765.09,136.405,371.2,22.515,0,8.7,8.72,58607.2,6.01205,1292.273501,94.52,559.49,107511,0.384844,2200.555741,88.5,268.26,38702,22.4277,5733.233902,88.81,287.96,110771,0.35431,53.485679,89.49,271.91,10527.4,116.922,546.179359,78.22,76.75,9048.38,135.788,1068.241743,56.98,54.54,4,4096M,4,4096M,kusumach/tfb-qrh:2.9.0.F_mm
baseline2,223710.67720667,93358.192325,2.93623,1177.67,2.74903538474445,3.12731066804815,890,1325,28773.9,17.77,272.63,20.1475,0,3.55,3.58,56683.8,9.0175,46.4,3.25,0,0.7,0.68,18346.9,27.835,337.64,29.03,0,1.23,1.22,57863.9,8.83,44.3,2.0975,0,1.07,1.03,4621.48,110.817,304.09,20.15,0,1.1,1.1,3931.35,130.347,301.99,21.105,0,0.36,0.34,68615.2,2.95046,885.270414,22.78,165.95,134960,0.389229,793.383577,6.51,16.87,43940.9,16.7284,5147.93778,6.07,286.86,137336,0.336277,84.361951,7.13,43.45,11126.8,110.333,537.56676,5.78,6.06,9429.58,130.265,1058.719332,2.22,2.51,4,4096M,4,4096M,kusumach/tfb-qrh:2.9.0.F_mm
autotuneconfig_TPE,228439.192131667,95397.6941516667,3.02428,1884.47,2.86006801798518,3.20415395347778,1497,1924,29435.7,17.375,147.85,20.095,0,2.85,2.84,54561.8,9.37,217.06,4.565,0,4.34,4.31,17902.1,28.55,327.16,30.85,0,1.2,1.1,56762.7,9.0025,98.57,3.59,0,3.46,3.39,4870.34,105.188,358.61,29.9625,0,3.19,3.18,4074.57,125.805,390.07,32.6675,0,4.34,4.37,70138.2,1.94517,1037.995444,13.04,196.12,129475,0.426367,159.886175,25.36,35.04,42653.8,5.37559,2034.895068,1.9,59.06,134768,0.407195,92.104313,21.83,18.13,11690.1,102.949,1204.624101,26.73,41.68,9789.83,122.7,2395.345354,26.04,46.67,4,4096M,4,4096M,kusumach/tfb-qrh:2.9.0.F_mm
autotuneconfig_TPE_multivariate,223708.158806667,93180.35136,3.00606,1082.77,2.75368016105926,3.19912812084444,1014,1115,27814.6,18.375,230.69,20.7,0,0.82,0.74,53746.4,9.51,49.28,4.2375,0,1.05,1.01,17695.2,28.8825,329.25,30.51,0,4.59,4.64,55810,9.16,54.79,2.9925,0,2.97,2.95,4688.37,109.322,343.93,23.33,0,4.9,4.93,4005.57,127.985,415.24,25.66,0,4.47,4.49,66307,2.55346,1474.473547,5.26,225.96,127480,0.459621,125.887309,3.79,6.21,42324.6,12.0501,2540.08087,28.57,256.96,132152,0.431337,100.873881,21.32,76.2,11264.8,105.441,485.549057,34.65,45.94,9662.28,123.907,1797.815321,30.03,40.65,4,4096M,4,4096M,kusumach/tfb-qrh:2.9.0.F_mm
