Config,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
No req-no lim,302.5,863.667,493.112,0.885572,0.65436472287235,1.11697176435286,487,498,17.4214,12.1321,,,,,0
no req-max lim,303.45,859.833,381.562,0.843015,0.717376962789706,1.05674109797461,379,383,17.3531,11.9104,,,6,1024M,0
