TRIALS, THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,, THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,, CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin ,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
63,11136.9,7.46009,15776.286526,1.55324,800.388,0.80769505720504,2.0077401671037,659,922,4.36,3.83,, 10915.4,64.1378,3410,50.0311,0,2.11,2.08,, 1.9300000000000002,3483M,1.93,3483M,8,3070,2,38,402,35,82,1275,7.98,1,1734,220,14,43,1,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
142,11309.1,7.52547,3767.321944,1.57439,786.79,0.871599186277778,1.99237767607037,409,869,3.35,4.4,, 11097.7,63.0844,3880,46.0222,0,1.88,1.84,, 1.9300000000000002,2676M,1.93,2676M,12,4955,2,40,432,25,51,2227,1.12,2,1664,148,16,23,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
146,10980.5,7.53494,4349.709036,1.51509,833.975,0.807614855211111,1.91262059527778,381,1009,1.35,21.76,, 10762.7,65.0378,3000,47.4233,0,1.82,1.78,, 1.85,2745M,1.85,2745M,11,7130,2,38,436,24,92,2460,1.53,2,1560,132,16,22,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
145,11538.2,7.54262,4052.679013,1.56039,719.758,0.863316978485185,1.93063708522222,430,819,1.38,7.95,, 11295.7,61.9678,3490,48.1911,0,1.82,1.78,, 1.94,2319M,1.94,2319M,13,4174,2,39,422,27,84,2188,1.62,2,1856,155,17,26,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
144,11338.9,7.54914,3879.133241,1.55175,782.565,0.892736572359259,1.95546280588148,657,916,1.79,34.14,, 11101.1,63.0589,3790,51.62,0,2.09,2.04,, 1.9100000000000001,2213M,1.91,2213M,11,5116,2,40,351,26,63,1808,1.98,2,1675,141,14,23,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
130,11185.4,7.55414,4078.559943,1.51447,661.928,0.802646165835692,1.9541373737,368,867,1.83,18.65,, 10962,63.8478,2990,45.2889,0,1.94,1.88,, 1.88,2282M,1.88,2282M,12,5118,2,37,443,24,41,3393,3.45,2,1469,151,17,24,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
26,11215.5,7.56025,25125.106531,1.5973,869.137,0.891142494823766,2.04478821995556,860,875,2.05,15.08,, 10997.6,63.5944,3510,46.2311,0,1.53,1.51,, 1.97,4095M,1.97,4095M,6,3976,2,36,431,37,200,1000,7.99,1,1716,247,14,11,1,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
149,10601.3,7.64684,3890.394437,1.45722,666.534,0.855580477921483,1.84049600382593,363,988,0.44,16.86,, 10392.5,67.3567,3000,48.5478,0,2.1,2.05,, 1.81,2915M,1.81,2915M,9,3966,2,40,370,31,81,2651,6.36,2,1751,181,16,23,2,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
126,11093.8,7.66461,3676.1105,1.54395,950.881,0.851089165929756,1.9361033617963,528,1275,3.47,15.57,, 9706.1,56.9811,3090,48.8425,0,28.94,28.94,, 1.92,2490M,1.92,2490M,13,5798,2,36,488,24,76,2589,5.11,2,1622,171,15,28,5,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
122,11002.6,7.68688,3612.094912,1.53956,583.419,0.922659746507408,1.95322016941852,515,695,2.16,22.91,, 10791.8,64.87,1100,44.1989,0,1.77,1.73,, 1.9,1489M,1.9,1489M,11,6555,2,38,477,23,73,2184,1.63,2,1507,188,14,22,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
