BUILD,INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,MEM_USAGE,CPU_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THPRT_PROM_CI,RSP_PROM_CI,THRPUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX,STDEV_RESPTIME_MAX,WEB_ERRORS,THRPT_WRK_CI,RSP_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM
With MM enabled,1,209.347,11.2,6433.37744,382.777,0.108453,0.100898704785185,0.117120914959259,366,391,0.27,4.96,200.375,42.572,518,38.49,0,0.47,7.48,2.5,800M,2.5,800M
No MM enabled,1,,,,368.824,0.100379,0.091323614910513,0.110807038696296,357,388,,,199.873,36.5293,750.78,39.84,0,0.44,8.85,2.5,800M,2.5,800M

