Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci
22,869.8,85.7778,555.764,2.01894,1.76735808490428,2.13838035267386,539,566,0,50,2.59,7.33,0.78,1.88
23,873.7,84.8889,574.152,1.99054,1.80591481204393,2.16756695857715,548,609,0,41,1.82,5.38,2.24,1.85
24,871.022,87.7778,572.086,1.94877,1.64855585318172,2.12634105556062,502,615,0,45,2.08,6.28,5.32,3.64
25,873.656,86.8889,580.409,1.98094,1.8125381117757,2.12761659091969,558,593,0,50,1.93,7.43,1.45,2.1
26,868.922,89.2222,551.74,1.96137,1.68371484382875,2.06898970375407,503,608,0,47,3,10.81,4.46,1.14
27,830.967,109.667,567.988,1.96769,1.6756886924325,2.09615202201318,547,588,0,42,6.88,27.07,1.72,1.8
28,863.456,91,564.293,1.95965,1.78468950127076,2.14198471672057,532,600,0,38,2.76,9.39,3.7,2.31
29,807.467,114,570.88,1.89579,1.63778909403495,2.03113934826889,542,592,0,30,5.99,16.26,1.81,1.57
30,734.689,150.778,541.511,1.70394,1.42228127904826,1.92156891061017,522,566,0,47,7.18,17.5,1.71,5.66
31,830.7,106.778,555.895,1.85113,1.59056475216064,2.06129391008783,534,587,0,50,3.46,13.58,1.94,3.7
32,837.567,100,555.96,1.81852,1.61659437677625,1.92771761387644,531,585,0,43,2.66,6.82,3.08,1.22
33,815.189,110.333,578.894,1.89558,1.69615754692271,1.97365424429435,553,608,0,40,3.13,7.62,2.33,2
34,837.633,101.111,559.969,1.82339,1.60709301230593,2.06497721619028,537,593,0,47,1.78,5.31,1.96,5.59
35,821.244,107.556,565.101,1.8125,1.57469774278333,2.07616165887877,532,585,0,31,3.06,7.79,2.44,4.5
36,824.022,108,563.067,1.80551,1.43264786740125,1.94584573875868,527,605,0,9,4.35,15.57,2.78,2.01
37,815.056,109.222,577.086,1.78268,1.60794301837332,1.97700026125433,545,604,0,9,2.48,5.61,2.78,3.28
38,789.244,123.556,558.068,1.80556,1.47978084633,2.00376839793815,546,577,0,9,3.16,10.69,1.58,3.71
39,797.389,119.778,553.248,1.6993,1.56822978884139,1.83845633309388,524,587,0,44,3.37,7.68,3.16,1.99
40,759.433,137.667,543.386,1.72599,1.54228945506,1.88018458145397,486,579,0,33,4.17,9.55,3.36,3.37
41,720.944,160,542.764,1.59418,1.27042594711135,1.80233916199011,515,570,0,38,5.29,12.28,3.08,5.77
42,704.667,170.556,530.912,1.55778,1.25838905420893,1.77182275067948,486,563,0,50,6.29,12.66,4.39,5.05
43,733.678,155.889,529.104,1.68934,1.45994311500832,1.93452682999605,510,548,0,26,5.07,14.3,2.09,3.59
44,659.5,196.889,539.652,1.48326,1.3347303149678,1.65980390949187,499,583,0,48,7.52,15.05,4.49,2.43
45,673.744,190.333,533.565,1.48917,1.24787284181625,1.66816934308889,501,557,0,46,4.96,9.65,2.84,4.97
46,653.144,198.333,543.469,1.52368,1.26039932375625,1.70302548782946,521,565,0,20,5.44,8.33,1.67,4.35
47,677.1,183.444,532.184,1.52312,1.341347280585,1.62571240623885,492,575,0,49,3.01,4.71,4.22,1.69
48,661.533,195,534.724,1.48142,1.24500857979,1.64431966051924,504,563,0,40,5.96,11.36,3.21,2.94
49,619.611,229.333,515.243,1.41229,1.19181177987,1.55377702657461,474,553,0,43,10.04,21.3,4.46,3.19
50,647.344,206,545.085,1.46576,1.18406417219625,1.59350590467127,509,574,0,48,5.01,8.65,2.76,2.33
