Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci
1,866.344,92,567.773,1.93163,1.78482395119314,2.0455675687274,530,586,0,15,2.66,9.2,1.82,2.73
2,874.533,87.4444,555.823,1.93817,1.61123865274125,2.07755743701168,540,579,0,34,0.5,2.49,1.86,4.14
3,860.711,86.8889,542.403,1.89704,1.5855196912725,2.06929940071439,498,586,0,36,3.13,12.04,4.12,3.12
4,842.789,95.6667,547.615,1.9643,1.72329612795814,2.06532201119329,502,585,0,25,3.04,7.86,4.03,1.1
5,851.733,93,565.411,1.95458,1.719771799587,2.10445316317286,532,588,0,17,2.71,7.55,2.34,2.98
6,855.933,94.6667,571.325,1.90486,1.69341075929101,2.13943930993762,545,589,0,15,2.82,8.09,1.36,3.69
7,860.989,91.1111,563.091,1.90077,1.74639079234567,2.01736481641041,539,585,0,24,3.1,12.21,2.18,1.09
8,862.589,89.8889,576.89,1.94958,1.78344204384033,2.11849178746196,561,596,0,41,1.68,5.7,1.82,2.79
9,873.278,87.4444,549.395,1.98229,1.71549479199375,2.09614720338083,522,566,0,34,1.43,3.68,1.82,1.07
10,807.678,115,560.33,1.83865,1.48348376713125,2.04173008721308,536,586,0,36,8.24,24.54,2.27,5.9
11,871.5,85.2222,545.392,1.95253,1.52255688130125,2.15629186707332,499,570,0,49,2.03,7.52,3.22,3.96
12,884.356,80.6667,562.199,1.97847,1.73921346046278,2.12490494702828,540,588,0,50,1.7,5.99,2.35,3.08
13,872.633,86.2222,551.794,1.90524,1.6991058062503,2.04417702739168,518,603,0,50,3.75,14.44,3.74,2.22
14,865.878,88.4444,569.878,1.95506,1.64663825295,2.11228708143648,541,599,0,49,2.86,10.17,2.7,2.89
15,867.544,90.8889,572.397,1.93575,1.70982822548431,2.13182326297702,558,597,0,45,1.92,6.29,1.54,3.23
16,874.144,86.5556,564.469,2.00326,1.70658745189125,2.11025796912072,518,613,0,44,2.3,7.87,4.6,1.28
17,881.178,84,572.321,1.97324,1.8258501521664,2.16402592558797,550,595,0,50,2.78,10.21,1.86,2.28
18,864.856,89.2222,542.639,2.0173,1.80116611899375,2.10762600436343,510,578,0,41,2.06,7.86,2.09,1.23
19,883.067,83.5556,567.249,2.0004,1.76487000023073,2.14287245440937,528,586,0,50,1.62,5.33,2.34,2.25
20,872.489,86.1111,575.036,2.04878,1.76509700729234,2.16065823622694,556,599,0,10,1.53,5.96,1.7,2.3
21,819.767,112,558.476,1.92549,1.5672184839375,2.11572685617038,514,591,0,46,8.18,26.41,3.64,5.12
