Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci,cpu_req,mem_req,cpu_lim,mem_lim
1,620.933,239,529.837,1.77529,1.5515830846876,2.0063257342468,508,549,0,9,9.67,17.18,2.49,8.26,2.87,669,3.5,1024
1,643.133,222,538.918,1.7406,1.49552881184074,1.89848122796746,522,543,0,48,5.91,13.07,0.94,5.73,2.87,669,3.5,1024
1,627.383,230.667,541.21,1.65801,1.43394486609583,1.96692507544125,522,562,0,13,8.6,15.98,3.28,8.6,2.87,669,3.5,1024
