CONFIG,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI, THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI
HT enabled,62637.4,0.802976,3490.812192,4.72573,949.217,2.4458030490336,5.97025228810741,903,980,22,82.22,61287.8,8.36444,6440,25.9089,0,6.54,6.18
HT disabled,66972.8,0.714876,735.89522,4.24264,962.576,2.4940760500787,5.39586623371852,936,992,3.57,11.64,65536.6,7.81,484.44,4.02,0,2.2,2.19

