Trial,cpu_request,mem_request,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
91,4,6067.0M,ParallelGC,467,17,193,8290,2,5,3310,215,11,47,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,738.333,923.667,1033.08,2.32254,2.08252695426296,2.63189004047778,926,1125,0,3.99492,4,6067.0M,4,6067.0M,0
82,4,5939.0M,ParallelGC,464,16,176,8810,2.9,5,3095,191,12,47,2,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,735.8,927.5,1162.88,2.33143,2.0313689922,2.64060335899259,1067,1228,0,3.91064,4,5939.0M,4,5939.0M,0
84,4,5778.0M,ParallelGC,466,15,170,7820,2.1,5,3105,188,9,48,2,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,734.067,930.167,1173.03,2.33584,2.01949409934444,2.64648878377407,1082,1252,0,4.05525,4,5778.0M,4,5778.0M,0
73,4,5190.0M,ParallelGC,457,28,156,9080,3.1,3,1665,77,10,44,2,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,730.933,935.5,1021.16,2.34167,2.11130511864074,2.64480801416296,940,1081,0,4.31009,4,5190.0M,4,5190.0M,0
45,3.7,5450.0M,ParallelGC,389,40,51,4600,3.2,5,3765,53,4,16,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,729.933,936.833,934.596,2.19505,1.9144976162,2.5927609289037,875,997,0,4.22441,3.7,5450.0M,3.7,5450.0M,0
86,4,5766.0M,ParallelGC,466,16,190,9070,2.1,5,3445,195,8,47,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,729.45,937.5,998.971,2.32403,2.05018892980741,2.64841128531481,901,1041,0,3.97701,4,5766.0M,4,5766.0M,0
87,4,6034.0M,ParallelGC,491,16,195,9160,1.9,5,3420,196,8,48,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,728.883,938.833,1046.04,2.3274,2.01255562575926,2.64151856522963,960,1100,0,3.88452,4,6034.0M,4,6034.0M,0
71,3.9,5590.0M,ParallelGC,456,32,132,8290,3.1,4,2145,82,11,37,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,728.6,939.167,1160.1,2.253,1.97850676081482,2.58699801099259,1062,1220,0,4.14134,3.9,5590.0M,3.9,5590.0M,0
81,4,5877.0M,ParallelGC,463,14,136,8370,3,5,3330,161,12,48,2,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,728.433,938.667,1175.06,2.32651,2.03349095606667,2.6448715319963,1079,1277,0,4.03361,4,5877.0M,4,5877.0M,0
94,4,6125.0M,ParallelGC,469,17,192,8770,1.8,6,3580,219,8,46,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,727.983,941.167,1048.22,2.32603,2.05536058754074,2.64036088137407,958,1108,0,4.0206,4,6125.0M,4,6125.0M,0
92,4,6063.0M,ParallelGC,464,17,191,8400,1.9,5,3185,226,8,47,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,726.55,942.5,1041.98,2.33114,2.0871431905963,2.64645455484074,953,1132,0,4.07475,4,6063.0M,4,6063.0M,0
85,4,5942.0M,ParallelGC,478,14,198,9550,2.1,5,3305,176,13,48,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,726.283,943.667,1002.88,2.34915,2.03846554971481,2.6473552278963,910,1075,0,3.97433,4,5942.0M,4,5942.0M,0
62,3.9,5593.0M,ParallelGC,332,33,136,7860,3.8,4,1790,95,12,37,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,726.233,943.167,1286.9,2.2779,1.99326901775556,2.58221234898148,1191,1329,0,3.97388,3.9,5593.0M,3.9,5593.0M,0
47,3.9,5171.0M,ParallelGC,436,41,108,4890,4.6,3,3820,104,5,8,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,724.533,946.167,1133.68,2.28111,1.97145133025556,2.58140259493333,1107,1154,0,4.00851,3.9,5171.0M,3.9,5171.0M,0
97,4,5907.0M,ParallelGC,473,15,179,9380,1.4,6,3690,232,7,45,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,723.733,947.5,1017.54,2.30603,1.97163210294815,2.64837359004444,942,1114,0,3.82825,4,5907.0M,4,5907.0M,0
79,4,5978.0M,ParallelGC,462,20,134,8610,2.8,5,2985,190,12,47,2,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,723.033,948.167,1181.84,2.31348,1.94673905021852,2.64006318912593,1060,1270,0,4.08503,4,5978.0M,4,5978.0M,0
55,3.9,5411.0M,ParallelGC,325,30,97,7220,3.7,3,3075,94,12,39,2,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,722.567,949.5,930.87,2.26253,1.95392508855185,2.58195515934815,894,963,0,3.9139,3.9,5411.0M,3.9,5411.0M,0
54,3.9,5322.0M,ParallelGC,330,35,97,5980,4.5,2,4900,96,10,38,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,722.333,949.5,1144.71,2.30082,2.0577414703,2.57732849304074,1103,1175,0,3.9407,3.9,5322.0M,3.9,5322.0M,0
60,3.9,5509.0M,ParallelGC,437,35,137,8590,4.3,3,1675,83,14,34,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,721.917,951.333,1292.61,2.27912,1.9394503321963,2.58056688652963,1204,1358,0,3.99371,3.9,5509.0M,3.9,5509.0M,0
83,4,5921.0M,ParallelGC,477,13,190,9560,3,5,3230,177,13,46,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,721.883,951.167,989.614,2.33014,2.08772799415556,2.63422525435556,904,1056,0,4.09322,4,5921.0M,4,5921.0M,0
59,3.9,5523.0M,ParallelGC,325,35,137,8060,4.5,4,2080,56,12,34,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,718.983,956.667,1122.7,2.29064,2.05134722792222,2.58473825158889,1055,1170,0,4.14481,3.9,5523.0M,3.9,5523.0M,0
33,3.9,5013.0M,ParallelGC,404,29,22,3370,6.7,8,4980,84,7,19,7,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,718.583,956.333,741.871,2.29632,1.99224489008148,2.69082877327037,632,797,0,3.85508,3.9,5013.0M,3.9,5013.0M,0
15,4,5887.0M,ShenandoahGC,361,42,57,4890,2.1,6,5000,62,0,21,4,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,712.733,966.333,1781.14,2.42037,2.11406230856667,2.8766041874905,1746,1818,0,3.91152,4,5887.0M,4,5887.0M,0
68,4,3699.0M,ParallelGC,469,30,118,7670,4.8,3,2330,97,15,32,2,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,710.867,970,933.021,2.3413,2.0098026930963,2.64361013526296,843,1002,0,4.15313,4,3699.0M,4,3699.0M,0
57,3.9,4187.0M,ParallelGC,343,23,143,7010,3.4,3,2570,112,11,33,2,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,708.25,975.333,845.749,2.29463,2.02852718748889,2.5805724089037,808,866,0,3.99128,3.9,4187.0M,3.9,4187.0M,0
51,3.8,5438.0M,ParallelGC,370,36,102,4620,5.6,2,4790,97,5,42,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,707.317,977.167,1154.86,2.20327,1.90437784102222,2.51138409904815,1116,1212,0,4.18303,3.8,5438.0M,3.8,5438.0M,0
61,3.9,5500.0M,ParallelGC,327,35,180,8730,4.5,3,1680,83,14,34,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,706.25,978.667,1257.92,2.29351,2.01071646626296,2.58279908661852,1175,1313,0,4.20317,3.9,5500.0M,3.9,5500.0M,0
48,3.8,5053.0M,ParallelGC,374,37,111,4770,5,2,4795,104,9,4,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,704.2,982.667,1105.52,2.2464,1.95911246393704,2.51587117665926,1077,1131,0,4.13448,3.8,5053.0M,3.8,5053.0M,0
65,3.9,4796.0M,ParallelGC,434,32,118,7550,2.7,2,1165,121,15,42,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,703.983,982.667,1207.41,2.28825,1.96551762144444,2.57511780642963,1125,1289,0,4.05497,3.9,4796.0M,3.9,4796.0M,0
63,3.7,6079.0M,ParallelGC,334,33,141,8040,3.8,4,1740,54,13,37,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,699.917,990.5,1332.21,2.14974,1.9096665561037,2.44977873848148,1255,1399,0,4.1057,3.7,6079.0M,3.7,6079.0M,0
31,4,5651.0M,ShenandoahGC,403,33,46,3440,7.4,7,4600,70,6,19,7,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,698.083,993.833,1715.97,2.39417,2.14825371586296,2.79641459297903,1652,1765,0,4.04557,4,5651.0M,4,5651.0M,0
93,3.8,5761.0M,ParallelGC,456,19,174,8320,1.3,5,3715,208,11,43,4,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,697.983,994.167,911.229,2.21004,1.9201200720037,2.51335003484815,800,985,0,4.30844,3.8,5761.0M,3.8,5761.0M,0
72,3.9,5555.0M,ParallelGC,451,32,140,8190,2.4,4,2125,108,11,37,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,694.983,1000.67,1156.2,2.26513,1.94260402846296,2.58358277393333,1081,1196,0,4.00669,3.9,5555.0M,3.9,5555.0M,0
99,3.8,5549.0M,ParallelGC,458,9,169,7830,2.7,5,2800,165,10,43,2,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,694.7,1000.33,1055.27,2.20615,1.93322212328889,2.5147931490963,964,1106,0,3.85327,3.8,5549.0M,3.8,5549.0M,0
96,3.8,6136.0M,ParallelGC,466,18,191,8840,1.7,6,3565,221,9,44,4,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,694.467,1000.83,1021.28,2.21236,1.96057200390741,2.51540434955556,904,1111,0,3.95528,3.8,6136.0M,3.8,6136.0M,0
78,3.7,5708.0M,ParallelGC,484,32,122,7370,3.4,3,2250,85,14,38,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,691.617,1005.83,1318.54,2.15752,1.94533282566667,2.44451799088519,1209,1422,0,4.27966,3.7,5708.0M,3.7,5708.0M,0
19,4,4555.0M,ShenandoahGC,417,43,32,3750,4.2,5,3700,65,2,10,3,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,683.4,1021.33,1515.25,2.42267,2.0327941169037,2.84102392750741,1494,1565,0,4.08844,4,4555.0M,4,4555.0M,0
66,3.7,5276.0M,ParallelGC,341,38,130,8520,4.3,4,1900,42,12,36,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,678.267,1031.5,1252.05,2.15514,1.83625543154444,2.45505038928148,1168,1300,0,4.11147,3.7,5276.0M,3.7,5276.0M,0
43,3.5,5791.0M,ParallelGC,385,39,49,4260,2.8,5,4345,51,1,18,3,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,676.317,1036.5,866.619,2.0951,1.85469143666296,2.39914910978398,788,909,0,3.96838,3.5,5791.0M,3.5,5791.0M,0
52,3.8,1751.0M,ParallelGC,372,37,106,4600,6.1,2,3800,125,5,42,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,672.967,1043.83,741.018,2.20861,1.86992228782593,2.50891989660741,713,782,0,3.94879,3.8,1751.0M,3.8,1751.0M,0
74,4,5301.0M,SerialGC,458,27,173,9200,3.1,3,1665,65,10,41,2,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,672.867,1043.83,635.677,2.31681,2.02146991208889,2.60425753935556,620,651,0,4.06643,4,5301.0M,4,5301.0M,0
28,4,4714.0M,ShenandoahGC,403,34,23,5480,7,7,4550,74,7,20,7,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,666.567,1056.17,1506.94,2.40371,2.10111744894444,2.7797750941037,1437,1580,0,4.0053,4,4714.0M,4,4714.0M,0
21,4,5682.0M,ShenandoahGC,383,44,47,4230,1.3,5,4530,63,1,20,4,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,665.867,1057.5,1712.68,2.46005,2.16227669067037,3.07143736608148,1693,1802,0,3.9838,4,5682.0M,4,5682.0M,0
14,4,5596.0M,ShenandoahGC,362,41,60,6690,1.3,6,4955,67,1,18,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,663.6,1062.83,1742.93,2.44007,2.07447316015185,2.97911963793552,1708,1789,0,3.95729,4,5596.0M,4,5596.0M,0
42,3.9,4844.0M,ShenandoahGC,396,31,29,6100,5.4,6,4670,69,5,25,8,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,663.333,1062.83,1505.31,2.34444,2.06704447101111,2.74699585875556,1464,1628,0,3.97749,3.9,4844.0M,3.9,4844.0M,0
23,4,5776.0M,ShenandoahGC,385,45,83,2410,3.9,7,4345,91,0,10,5,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,662.833,1064,1759.73,2.44025,2.05103539683704,2.86698900572222,1723,1814,0,3.83955,4,5776.0M,4,5776.0M,0
98,3.7,2067.0M,ParallelGC,446,22,185,9840,2.3,5,3880,154,3,48,2,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,661.35,1066.33,775.639,2.17442,1.92015243369259,2.44549920319259,676,849,0,4.17116,3.7,2067.0M,3.7,2067.0M,0
16,4,5980.0M,ShenandoahGC,363,41,5,4870,1.2,8,4910,44,0,22,3,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,655.917,1078.33,1803.21,2.45641,2.11507697432222,2.94318882074815,1766,1877,0,4.06606,4,5980.0M,4,5980.0M,0
53,3.7,5040.0M,ParallelGC,359,41,125,5020,5.5,1,4800,152,20,48,2,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,652.9,1084.33,881.198,2.15292,1.89027119681111,2.44646041704445,842,955,0,3.91099,3.7,5040.0M,3.7,5040.0M,0
25,3.7,4269.0M,ParallelGC,385,43,40,5210,7.1,5,4550,35,2,7,4,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,652.467,1086,720.367,2.19302,1.8940272216037,2.52419322927778,639,780,0,4.05158,3.7,4269.0M,3.7,4269.0M,0
22,3.7,4982.0M,ShenandoahGC,411,45,44,4140,2.8,5,3615,39,2,19,3,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,642.4,1106.33,1570.35,2.25084,1.95423657544444,2.69063740525185,1524,1620,0,3.98792,3.7,4982.0M,3.7,4982.0M,0
44,3.5,5981.0M,ParallelGC,354,39,68,3890,3.7,4,4405,88,1,18,3,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,642.033,1107.17,925.399,2.07979,1.79902393760741,2.43489708151852,852,984,0,4.16257,3.5,5981.0M,3.5,5981.0M,0
41,3.9,4584.0M,ShenandoahGC,405,34,23,5290,7.7,7,4535,75,7,21,7,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,640.617,1111.17,1462.69,2.3427,2.0426188079,2.72199924305926,1409,1532,0,4.15257,3.9,4584.0M,3.9,4584.0M,0
89,4,6013.0M,SerialGC,481,16,198,9650,2.2,5,2865,207,9,48,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,632.017,1128.83,613.45,2.31137,2.0358454859037,2.61012631333704,606,621,0,3.93167,4,6013.0M,4,6013.0M,0
13,3.8,5381.0M,ShenandoahGC,368,38,51,7150,5.2,6,4855,75,2,16,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,630.65,1133.67,1620.67,2.27725,1.99672594647778,2.60414949768987,1575,1693,0,3.71733,3.8,5381.0M,3.8,5381.0M,0
36,3.6,3933.0M,ParallelGC,444,31,72,1950,5.9,7,4735,127,13,6,7,4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,629.583,1134.33,673.927,2.11811,1.90829660846667,2.3940518052963,636,730,0,4.1061,3.6,3933.0M,3.6,3933.0M,0
77,3.8,4380.0M,G1GC,462,28,147,8450,4,2,1840,72,10,44,2,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,618.2,1160.67,1478.65,2.22941,1.93930225539259,2.53530608115556,1449,1509,0,3.97235,3.8,4380.0M,3.8,4380.0M,0
32,3.6,5715.0M,ShenandoahGC,380,48,49,3330,8,6,4580,57,4,24,4,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,617.883,1161.5,1671.71,2.19993,1.90161952329259,2.61899233827037,1608,1732,0,3.98261,3.6,5715.0M,3.6,5715.0M,0
70,3.3,6143.0M,ParallelGC,325,40,152,7820,4,3,1970,26,16,35,1,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,615.133,1167.5,1306.75,1.94256,1.71943835978148,2.20175976737778,1240,1371,0,3.82765,3.3,6143.0M,3.3,6143.0M,0
