Trial,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,StackTraceInThrowable,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
77,ParallelGC,353,21,182,2430,5.8,3,2905,166,2,8,1,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,7.4,28014,552.123,3.71064,3.21890368709332,3.93773976058518,468,645,0,4.34527,3.8,3505.0M,3.8,3505.0M,442
7,SerialGC,470,42,16,1260,7.1,3,4980,122,15,17,10,3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,6.61667,28926.3,475.698,3.2601,3.01405753931111,3.51440511956667,471,478,0,4.51484,3.3,4450.0M,3.3,4450.0M,465.5
67,ZGC,381,28,196,4160,3.4,4,3210,99,9,9,2,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,6.53333,29594.5,319.277,3.44825,3.2142941130319,3.63055086972593,312,329,0,4.25368,3.5,4884.0M,3.5,4884.0M,498.833
50,ShenandoahGC,340,45,7,3930,4.8,1,4250,230,15,46,3,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,392.667,880.167,176.097,0.621709,0.389663400749514,0.911462996558732,0,375,0,3.36549,2.5,432.0M,2.5,432.0M,24246.7
8,G1GC,406,12,91,6110,7.5,1,2945,117,20,33,2,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,658.283,78.1667,5.07845,0,0,0,0,181,0,3.13895,2.9,1162.0M,2.9,1162.0M,39688
0,G1GC,468,21,108,2080,9.3,8,1550,23,14,18,10,4,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,
1,G1GC,400,37,149,8500,4.4,6,4870,52,11,37,9,3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
4,ShenandoahGC,349,32,67,2260,13.7,5,4375,150,11,13,6,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,
6,G1GC,437,34,82,4700,2.7,3,1285,22,9,26,3,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
9,SerialGC,463,17,115,9140,10.1,2,3555,90,1,23,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,
10,ParallelGC,391,9,180,7300,6.6,4,2170,236,20,48,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,
35,SerialGC,415,37,12,3080,5.4,2,1495,215,11,10,3,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,
38,ZGC,344,19,123,5990,4.1,6,3300,176,16,15,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,
44,ParallelGC,374,35,81,3910,6.1,4,2250,222,12,30,2,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,
47,ParallelGC,465,48,141,2910,1,3,3335,181,2,5,1,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,
58,ParallelGC,366,49,17,6540,3.1,5,3545,138,10,16,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,
76,ParallelGC,373,50,33,3040,4.4,2,2680,155,12,4,2,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,
88,SerialGC,350,32,46,2330,4.9,6,2975,227,5,28,5,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,

