Trial,cpu_request,mem_request,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
89,2.2,1110.0M,SerialGC,453,30,173,9410,5.7,4,2325,52,20,4,6,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,359.4,2190,551.841,1.3346,1.1800661549037,1.50358118982222,541,562,0,3.68859,2.2,1110.0M,2.2,1110.0M,0
87,2.3,706.0M,SerialGC,473,25,170,7060,10.9,4,1435,33,17,25,5,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,355.8,2219.83,534.353,1.403,1.24961294595185,1.57923313848519,530,540,0,3.70215,2.3,706.0M,2.3,706.0M,0
8,2.2,2727.0M,G1GC,477,36,194,2170,8,4,4040,165,1,16,1,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1,350.033,2261.5,933.592,1.39348,1.21607313734074,1.66052283323704,763,1161,0,3.67213,2.2,2727.0M,2.2,2727.0M,0
46,2.4,957.0M,SerialGC,486,25,164,9970,13.1,4,1935,43,18,7,7,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,347.75,2278.17,537.82,1.4586,1.27240022014074,1.63389739105185,530,551,0,3.61769,2.4,957.0M,2.4,957.0M,0
52,2.1,879.0M,SerialGC,467,34,145,8970,13.5,5,2255,32,15,11,2,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,338.683,2345.33,578.235,1.28232,1.1289923882963,1.44683955954815,570,585,0,3.75706,2.1,879.0M,2.1,879.0M,0
47,2.2,1264.0M,SerialGC,464,31,147,7980,14.4,5,1325,27,16,3,6,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,328.2,2423.33,524.751,1.32404,1.16604592662222,1.50619186156296,512,533,0,3.5463,2.2,1264.0M,2.2,1264.0M,0
48,2.2,620.0M,SerialGC,493,24,185,8990,13,4,1700,51,18,12,5,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1,323.717,2462.5,507.163,1.33164,1.1734379294037,1.50467999129259,501,517,0,3.68206,2.2,620.0M,2.2,620.0M,0
75,2.1,577.0M,SerialGC,349,34,174,9700,14.6,6,2435,42,18,11,2,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,318.733,2502.83,502.32,1.26624,1.11071696731852,1.42703110401111,490,518,0,3.74147,2.1,577.0M,2.1,577.0M,0
62,2,604.0M,SerialGC,400,30,156,9210,11.7,5,1980,237,20,4,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,306.95,2613.17,510.356,1.21153,1.03760024316296,1.37302676095926,496,521,0,3.67907,2,604.0M,2,604.0M,0
55,1.8,1732.0M,SerialGC,471,26,168,9480,15,5,1250,49,19,6,2,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,304.167,2640.5,585.896,1.09946,0.959323171492592,1.24571713901111,571,602,0,3.95249,1.8,1732.0M,1.8,1732.0M,0
15,2.4,1888.0M,ShenandoahGC,448,40,61,4840,8.5,3,1585,145,8,38,7,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,299.983,2678.5,761.438,1.46375,1.29975160034444,1.67061698887037,729,847,0,3.712,2.4,1888.0M,2.4,1888.0M,0
72,1.8,816.0M,ParallelGC,414,26,151,8840,13.8,5,2160,27,17,10,1,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,286.583,2827.17,517.078,1.11676,0.994769318562963,1.24257354633704,456,569,0,3.73763,1.8,816.0M,1.8,816.0M,0
35,2.7,775.0M,G1GC,482,43,17,6510,11.4,1,1780,98,14,48,7,4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1,282.25,2871,547.081,1.66131,1.46421625262963,1.89014918140741,543,550,0,3.70397,2.7,775.0M,2.7,775.0M,0
4,2.7,4452.0M,SerialGC,484,27,186,8160,15,2,3625,188,3,10,4,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,282.083,2864.67,582.447,1.64321,1.45240763241852,1.89185612027778,573,590,0,3.65767,2.7,4452.0M,2.7,4452.0M,0
82,1.9,696.0M,SerialGC,481,20,162,8870,14.8,5,4995,36,15,5,5,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,280.867,2891.33,525.853,1.16967,1.01173490592593,1.32545552475185,519,540,0,3.63631,1.9,696.0M,1.9,696.0M,0
44,2,718.0M,SerialGC,487,27,159,8350,15,4,1550,20,17,3,7,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,279.917,2904.67,529.968,1.22923,1.08408757017037,1.41824799288889,519,535,0,3.4717,2,718.0M,2,718.0M,0
79,1.7,1095.0M,SerialGC,435,23,144,9120,12,4,1775,151,16,4,2,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,279.733,2901.5,583.005,1.04149,0.90275222702963,1.17574493614815,575,609,0,3.45341,1.7,1095.0M,1.7,1095.0M,0
7,1.5,4913.0M,SerialGC,467,19,37,7240,2,1,3735,95,5,40,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,278.667,2911,687.212,0.933066,0.781305049125926,1.07529181642963,677,694,0,3.62146,1.5,4913.0M,1.5,4913.0M,0
93,2.8,624.0M,SerialGC,500,23,161,8490,3.7,3,1095,42,18,13,4,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1,237.617,3430.17,452.849,1.74833,1.57364850227407,1.96854049274444,451,454,0,3.69492,2.8,624.0M,2.8,624.0M,0
