Build 106-108,INSTANCES,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,MAXINLINELEVEL,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE
No MM,1,0.7757498,477.408666666667,0.635929888648148,1.0795898500774,442,503,4996.62266666667,1.48235466666667,725.61,15.6427,0,0.1,22.06,3,1024M,3,1024M,,,,,
With MM,1,0.7968895,497.5793,0.702516227022222,1.10457283510741,475,518,4996.64,1.515592,1480,20.5993,0,0.1,48.49,3,1024M,3,1024M,,,,,
