INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_97p,RESPONSE_TIME_99p,RESPONSE_TIME_99.9p,RESPONSE_TIME_99.99p,RESPONSE_TIME_99.999p,RESPONSE_TIME_100p,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,Gcpolicy
1,5530.11,28.7582,5777.469896,0.899403,133.433,185.757,207.164,367.422,481.634,20231.1,30000,0.81024,400.713,0.452322148981482,1.02269291851852,377,428,7.49,57.6,5433.37,94.4111,3390,61.2144,0,4.19,4.1,1, 8192M ,1, 8192M , UseSerialGC 
2,5839.62,25.5401,5800.034496,0.88724,134.313,165.379,233.135,399.348,552.902,20208.7,20268.4,0.821478,925.035,0.433133636255556,1.02754748291481,554,1192,17.78,62.59,5932.22,86.3778,3710,55.89,0,2.83,2.8,1, 8192M ,1, 8192M , UseParallelGC 
3,6092.28,24.7671,5295.153375,0.921599,158.432,190.873,240.926,425.861,590.716,769.818,20238.6,0.819925,736.004,0.50001160572963,1.05484688212222,568,853,9.3,60.25,6000.93,85.4567,805.31,56.4178,0,3.67,3.52,1, 8192M ,1, 8192M , UseParallelGC 
4,5258.21,27.4883,6297.108663,0.913906,193.005,225.775,332.797,492.546,680.493,20314.9,20357.9,0.811206,4836.07,0.469318173907408,1.03720180759259,2706,5054,13.21,40.04,5153.62,100.85,3510,66.4222,0,9.25,10.76,1, 8192M ,1, 8192M , UseShenandoahGC 
5,5437.67,18.1732,5717.128817,0.709961,101.217,132.108,165.947,295.007,426.178,10372.5,10447.4,0.815533,4970.33,0.449020811381482,1.05049717443333,3031,5131,17.42,78.96,5339.5,97.2322,805.31,62.1489,0,8.78,10.67,1, 8192M ,1, 8192M , UseShenandoahGC 
6,5367.46,35.5203,5697.206152,1.05573,158.879,192.022,258.497,406.793,558.098,20233.8,22386.1,0.820375,688.514,0.473123977566667,1.03785129658148,518,756,8.86,25.47,5262.68,97.3756,3790,66.9133,0,3.59,3.45,1, 8192M ,1, 8192M , UseG1GC 
7,5351.61,29.1053,6383.210957,0.957485,163.312,198.459,282.665,444.772,612.07,20199.8,20238.6,0.812337,4930.95,0.448205207725926,1.04790137354815,2752,5110,6.79,32.12,5216.82,98.7444,3610,64.7711,0,6.52,7.05,1, 8192M ,1, 8192M , UseShenandoahGC 
8,5382.37,28.8672,5425.850932,0.888577,152.862,191.025,232.653,403.538,539.859,10464.7,20328.1,0.820978,394.465,0.48744715812963,1.03879295478986,375,414,9.52,34.99,5282.14,97.05,3790,64.3756,0,4.03,3.91,1, 8192M ,1, 8192M , UseSerialGC 
9,5436.81,27.0528,5860.955905,0.824636,108.239,158.64,198.537,346.155,466.14,20198.5,30000,0.810877,393.288,0.443505397440741,1.05290282384074,364,427,10.91,28.79,5356.13,95.7467,3690,63.0111,0,3.83,3.75,1, 8192M ,1, 8192M , UseSerialGC 
10,5307.95,31.2131,5996.853019,1.02684,161.517,193.668,267.837,427.573,618.808,10583.8,20477.2,0.811257,680.44,0.430248605722222,1.02151940454074,493,837,5.8,46.47,5197.07,98.5844,3420,63.8689,0,2.74,2.66,1, 8192M ,1, 8192M , UseG1GC 
