INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_97p,RESPONSE_TIME_99p,RESPONSE_TIME_99.9p,RESPONSE_TIME_99.99p,RESPONSE_TIME_99.999p,RESPONSE_TIME_100p,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,Gcpolicy
1,6097.18,25.3409,6112.256528,0.864813,109.756,161.225,201.217,360.836,479.857,20204.6,30000,0.820029,999.785,0.498584866722222,1.0354337741,812,1033,5.65,31.43,5983.16,85.6444,3610,58.0322,0,2.88,2.89,1, 3072M ,1, 3072M , UseParallelGC 
2,5018.08,28.7894,6105.42979,0.86692,164.782,178.1,294.679,467.078,651.448,941.637,20477.2,0.818219,2092.74,0.473936849848148,1.03492370690741,2034,2136,7.85,69.55,4903.39,105.44,3990,69.6033,0,7.81,8.82,1, 3072M ,1, 3072M , UseShenandoahGC 
3,5099.04,27.6408,6663.636578,0.845587,186.887,197.927,296.669,492.197,672.623,979.118,27635.5,0.827498,2079.03,0.445114646318519,1.03823526443333,2036,2124,8.85,27.82,4992.93,102.979,1480,66.0356,0,5.19,5.61,1, 3072M ,1, 3072M , UseShenandoahGC 
4,6142.16,21.175,5858.074314,1.0572,135.45,141.08,242.023,400.042,538.788,10535.4,20596.5,0.816118,937.244,0.421893542703704,1.03683557362593,676,1021,6.87,42.55,6037.21,84.8822,994.05,57.8133,0,2.8,2.81,1, 3072M ,1, 3072M , UseParallelGC 
5,4869.16,35.8344,6385.432749,1.17394,188.232,198.571,293.32,473.193,635.206,10537.1,30000,0.816037,2055.55,0.483730737774074,1.02742733591111,2022,2070,25.18,35.17,4952.27,104.384,4010,75.8256,0,7.9,9.46,1, 3072M ,1, 3072M , UseShenandoahGC 
6,6125.29,18.4337,6837.510766,0.774527,107.073,116.618,195.279,341.606,494.994,20195.6,30000,0.810487,912.193,0.470650858718518,1.01524278304444,584,1021,3.65,42.17,6016.33,85.08,3510,56.1544,0,2.32,2.28,1, 3072M ,1, 3072M , UseParallelGC 
7,4752.65,30.3647,6238.785692,0.869769,137.742,190.423,244.187,407.649,557.859,10408.9,10507,0.817535,2073.1,0.451297753825926,1.0498016698,2003,2157,18.21,23.26,4853.85,107.516,1290,66.7822,0,10.26,12.51,1, 3072M ,1, 3072M , UseShenandoahGC 
8,6422.82,20.0767,5377.371454,0.781154,106.879,134.437,195.478,338.352,436.53,547.387,10507,0.80256,874.415,0.459306469774074,1.03567327838519,609,1039,6.69,47.56,6303.25,81.3167,901.78,54.1167,0,2.84,2.82,1, 3072M ,1, 3072M , UseParallelGC 
9,5008.28,28.5281,6655.406351,0.873628,163.836,196.836,288.107,455.917,619.478,10459,20328.1,0.81784,2098.29,0.448618020203704,1.00576271578889,2052,2124,11.75,58.01,4996.39,103.193,3410,70.6033,0,6.72,7.35,1, 3072M ,1, 3072M , UseShenandoahGC 
10,5023.21,29.3257,6607.27504,0.854147,160.443,191.416,270.686,428.137,604.079,10563.6,30000,0.819065,2083.22,0.483942389677778,1.0346012627,2031,2119,18.33,49.35,4946.04,105.012,901.78,69.2667,0,8.75,11.26,1, 3072M ,1, 3072M , UseShenandoahGC 
11,5510.94,31.4464,5242.249923,1.60481,190.715,231.091,314.879,517.104,750.069,1024.3,20477.2,0.813264,597.688,0.447367914274074,1.03490109475926,522,756,7.09,41.04,5426.69,94.6511,3390,65.95,0,4.81,5.01,1, 3072M ,1, 3072M , UseG1GC 
