INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_97p,RESPONSE_TIME_99p,RESPONSE_TIME_99.9p,RESPONSE_TIME_99.99p,RESPONSE_TIME_99.999p,RESPONSE_TIME_100p,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,Gcpolicy
1,20161.8,14.3131,2476.698411,3.62394,81.9603,86.0173,94.9646,113.006,190.36,10138.9,30000,3.22844,5175.46,1.77471581154141,4.07332761168148,5148,5210,4.43,12.18,19743.5,25.9156,3200,32.1511,0,1.92,1.91,4, 8192M ,4, 8192M , UseShenandoahGC 
2,20598.4,12.9436,1962.539243,3.34286,80.916,85.2413,91.6223,110.958,177.965,10133,30000,3.22171,838.116,1.79221138663521,4.00884646017037,668,951,7.87,33.07,20178.9,25.3611,3390,31.4467,0,2.53,2.53,4, 8192M ,4, 8192M , UseG1GC 
3,21970.9,10.6307,1985.417832,2.91231,75.2645,81.6083,87.9521,108.71,163.347,10130,30000,3.26947,1514.48,1.81760318153472,4.10107574483704,1180,1797,2.32,31.26,21518,23.7844,3200,29.4278,0,2.01,1.97,4, 8192M ,4, 8192M , UseParallelGC 
4,19987.7,14.3421,2010.146334,3.55346,82.1148,86.0074,93.5462,112.449,184.057,10135.6,30000,3.23199,887.242,2.00085768623329,4.18517265993704,760,1053,8.24,19.89,19550.8,26.1778,3470,33.3611,0,2.7,2.71,4, 8192M ,4, 8192M , UseG1GC 
5,19986.3,15.1146,2081.827186,3.85802,82.6178,86.3055,94.7165,111.594,185.358,20069.7,30000,3.217,962.126,1.83948103486919,4.08182670997778,744,1323,1.44,9.75,19564.1,26.1489,299.89,31.29,0,1.75,1.73,4, 8192M ,4, 8192M , UseG1GC 
6,20463.7,12.8802,2463.770215,3.20301,80.4251,85.1442,93.2567,112.65,190.311,20069.3,30000,3.20636,5177.56,1.83405614176057,3.98479329348518,5134,5217,3.46,31.54,20042.3,25.5278,3190,31.3078,0,1.85,1.86,4, 8192M ,4, 8192M , UseShenandoahGC 
7,19725.4,17.6604,1909.976429,4.63704,81.0626,85.5055,93.9637,115.966,180.644,20070.9,30000,3.23632,407.615,1.63602581359102,4.14931276503333,400,417,1.21,11.31,19289,26.5167,3270,30.7078,0,1.67,1.63,4, 8192M ,4, 8192M , UseSerialGC 
8,20431.1,12.8358,3162.159078,3.31739,80.8844,85.3657,93.477,112.473,189.249,20074.6,30000,3.25082,5169.01,1.8799491654286,4.19020392890068,5138,5193,4.56,29.44,20031.2,25.5344,3100,31.3744,0,1.92,1.9,4, 8192M ,4, 8192M , UseShenandoahGC 
9,20258.4,13.6713,2125.642725,3.58879,81.2137,85.4305,91.7952,110.997,180.11,20066.8,30000,3.20117,893.93,1.79794676816816,4.06962661781482,796,977,4.71,34.63,19840.4,25.7856,3310,31.4856,0,1.95,1.95,4, 8192M ,4, 8192M , UseG1GC 
10,20064.7,17.4464,2019.373622,4.65631,80.4614,85.1278,93.3334,111.92,179.243,10135,30000,3.22496,413.61,1.69566523930473,4.18159068528889,401,432,11.22,25.48,19630,26.0956,3190,29.49,0,3.28,3.21,4, 8192M ,4, 8192M , UseSerialGC 
