"Exp_names","Iteration","Metric-name","avg","min","max","50th Percentile","75th percentile","90th percentile","95th percentile","96th percentile","97th percentile","98th percentile","99th percentile","99.99th percentile","99.999th percentile","Value-1","Value-2","Value-3","Value-4","Value-5","Value-6","Value-7","Value-8","Value-9","Value-10","Value-11","Value-12","Value-13","Value-14","Value-15","Value-16","Value-17","Value-18","Value-19","Value-20","Value-21","Value-22","Value-23","Value-24","Value-25","timestamp-1","timestamp-2","timestamp-3","timestamp-4","timestamp-5","timestamp-6","timestamp-7","timestamp-8","timestamp-9","timestamp-10","timestamp-11","timestamp-12","timestamp-13","timestamp-14","timestamp-15","timestamp-16","timestamp-17","timestamp-18","timestamp-19","timestamp-20","timestamp-21","timestamp-22","timestamp-23","timestamp-24","timestamp-25"
"page-rank","ITR-0","nettransmitbytes-measure",1411.26666666667,1056.23333333333,1766.3,1954.06666666667,3454.93333333333,3902.33333333333,3956.25333333333,3969.73333333333,3969.73333333333,3969.73333333333,3969.73333333333,3969.73333333333,3969.73333333333,1056.23333333333,1056.23333333333,3802.33333333333,3802.33333333333,973.5,973.5,973.5,3902.33333333333,3902.33333333333,907.366666666667,907.366666666667,907.366666666667,3969.73333333333,3969.73333333333,960.366666666667,960.366666666667,960.366666666667,3454.93333333333,3454.93333333333,1954.06666666667,1954.06666666667,1954.06666666667,2878.03333333333,2878.03333333333,1766.3,1661240715.853,1661240730.905,1661240746.145,1661240761.232,1661240776.27,1661240777.001,1661240792.163,1661240807.3,1661240822.454,1661240837.582,1661240837.995,1661240853.145,1661240868.193,1661240883.268,1661240898.33,1661240899.058,1661240914.084,1661240929.203,1661240944.253,1661240959.301,1661240960.171,1661240975.374,1661240990.396,1661241005.613,1661241020.644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"page-rank","ITR-1","cpu-measure",1.65418767954329,1.5939037519125,1.71447160717407,1.68373830178889,1.70418882206296,1.71271874579333,1.74317060458148,1.75034535393333,1.75034535393333,1.75034535393333,1.75034535393333,1.75034535393333,1.75034535393333,1.71447160717407,1.70418882206296,1.70418882206296,1.69037375528519,1.69037375528519,1.69037375528519,1.61969702131481,1.61969702131481,1.68373830178889,1.68373830178889,1.68373830178889,1.75034535393333,1.75034535393333,1.66352161518519,1.66352161518519,1.66352161518519,1.67136738203704,1.67136738203704,1.62353814160741,1.62353814160741,1.62353814160741,1.71008945372222,1.71008945372222,1.63254897622222,1.5939037519125,1661241422.46,1661241437.618,1661241452.734,1661241467.859,1661241482.983,1661241483.524,1661241498.683,1661241513.8,1661241528.935,1661241544.061,1661241544.536,1661241559.701,1661241574.793,1661241589.919,1661241604.985,1661241605.67,1661241620.783,1661241635.93,1661241650.968,1661241666.051,1661241666.711,1661241681.897,1661241697.03,1661241712.149,1661241727.25
"page-rank","ITR-1","mem-measure",589692928,269045760,910340096,269787136,270049280,270270464,782326169.6,910340096,910340096,910340096,910340096,910340096,910340096,269045760,269185024,269185024,269291520,269291520,269291520,269344768,269344768,269688832,269688832,269688832,269787136,269787136,269864960,269864960,269864960,269946880,269946880,270049280,270049280,270049280,270270464,270270464,910340096,910340096,1661241422.473,1661241437.623,1661241452.745,1661241467.833,1661241482.871,1661241483.502,1661241498.666,1661241513.802,1661241528.942,1661241544.061,1661241544.534,1661241559.682,1661241574.704,1661241589.808,1661241604.909,1661241605.65,1661241620.674,1661241635.776,1661241650.828,1661241665.885,1661241666.729,1661241681.895,1661241697.025,1661241712.136,1661241727.179
"page-rank","ITR-1","memusage-measure",603828224,273125376,934531072,273862656,274128896,274354176,802495692.8,934531072,934531072,934531072,934531072,934531072,934531072,273125376,273264640,273264640,273371136,273371136,273371136,273420288,273420288,273768448,273768448,273768448,273862656,273862656,273944576,273944576,273944576,274153472,274153472,274128896,274128896,274128896,274354176,274354176,934531072,934531072,1661241422.456,1661241437.626,1661241452.723,1661241467.836,1661241482.936,1661241483.524,1661241498.679,1661241513.804,1661241528.952,1661241544.07,1661241544.56,1661241559.684,1661241574.822,1661241589.935,1661241605.068,1661241605.693,1661241620.812,1661241635.964,1661241651.081,1661241666.198,1661241666.735,1661241681.9,1661241697.03,1661241712.145,1661241727.252
"page-rank","ITR-1","cnetreceivebytes-measure",18.4333333333333,18.4333333333333,18.4333333333333,17.85,31.7083333333333,39.6,40.28,40.4,40.4,40.4,40.4,40.4,40.4,18.4333333333333,30,30,17.2666666666667,17.2666666666667,17.2666666666667,36.8333333333333,36.8333333333333,9.9,9.9,9.9,39.6,39.6,10.3,10.3,10.3,40.4,40.4,10.5333333333333,10.5333333333333,10.5333333333333,18.7666666666667,18.7666666666667,28.2666666666667,,1661241422.419,1661241437.44,1661241452.52,1661241467.562,1661241482.61,1661241483.512,1661241498.67,1661241513.748,1661241528.942,1661241544.061,1661241544.559,1661241559.692,1661241574.791,1661241589.941,1661241605.066,1661241605.666,1661241620.796,1661241635.935,1661241651.073,1661241666.197,1661241666.724,1661241681.868,1661241696.971,1661241712.108,
"page-rank","ITR-1","cnettransmitbytes-measure",7,7,7,6.95,15.2583333333333,18.3,18.8666666666667,18.9666666666667,18.9666666666667,18.9666666666667,18.9666666666667,18.9666666666667,18.9666666666667,7,14.3333333333333,14.3333333333333,6.9,6.9,6.9,18.0333333333333,18.0333333333333,5.16666666666667,5.16666666666667,5.16666666666667,18.3,18.3,4.2,4.2,4.2,18.9666666666667,18.9666666666667,5.16666666666667,5.16666666666667,5.16666666666667,10.2666666666667,10.2666666666667,10.6,,1661241422.475,1661241437.631,1661241452.745,1661241467.837,1661241482.955,1661241483.518,1661241498.668,1661241513.794,1661241528.863,1661241543.933,1661241544.538,1661241559.565,1661241574.636,1661241589.684,1661241604.742,1661241605.677,1661241620.805,1661241635.961,1661241651.087,1661241666.219,1661241666.736,1661241681.903,1661241696.997,1661241712.108,
"page-rank","ITR-1","diskdetails-measure",0,0,0,13370026.6666667,1130071995.73333,1130074985.81333,1130075477.33333,1130075477.33333,1130075477.33333,1130075477.33333,1130075477.33333,1130075477.33333,1130075477.33333,0,1130071381.33333,1130071381.33333,0,0,0,1365.33333333333,1365.33333333333,1130066466.13333,1130066466.13333,1130066466.13333,10103.4666666667,10103.4666666667,1130073838.93333,1130073838.93333,1130073838.93333,4369.06666666667,4369.06666666667,1130075477.33333,1130075477.33333,1130075477.33333,4369.06666666667,4369.06666666667,26729949.8666667,,1661241422.484,1661241437.63,1661241452.734,1661241467.757,1661241482.843,1661241483.496,1661241498.517,1661241513.66,1661241528.779,1661241543.853,1661241544.558,1661241559.692,1661241574.81,1661241589.944,1661241605.06,1661241605.671,1661241620.819,1661241635.963,1661241651.067,1661241666.219,1661241666.738,1661241681.9,1661241697.025,1661241712.114,
"page-rank","ITR-1","fsiototal-measure",8.59999999999988E-09,8.59999999999988E-09,8.59999999999988E-09,1.015E-08,1.3E-08,1.39633333333333E-08,1.42333333333334E-08,1.44546666666667E-08,1.5091E-08,1.57273333333334E-08,1.63636666666667E-08,1.69936366666667E-08,1.69993636666667E-08,8.60E-09,1.30E-08,1.30E-08,9.20E-09,9.20E-09,9.20E-09,1.23E-08,1.23E-08,1.05E-08,1.05E-08,1.05E-08,1.33E-08,1.33E-08,9.80E-09,9.80E-09,9.80E-09,1.42E-08,1.42E-08,8.90E-09,8.90E-09,8.90E-09,8.10E-09,8.10E-09,1.70E-08,,1661241422.459,1661241437.614,1661241452.69,1661241467.722,1661241482.783,1661241483.529,1661241498.677,1661241513.798,1661241528.952,1661241544.07,1661241544.546,1661241559.638,1661241574.787,1661241589.928,1661241605,1661241605.684,1661241620.813,1661241635.949,1661241651.082,1661241666.2,1661241666.728,1661241681.897,1661241697.025,1661241712.121,
"page-rank","ITR-1","fsreadtotal-measure",1.66666666666468E-11,0,3.33333333332935E-11,3.33333333332935E-11,2.3333333333328E-10,3.73333333333362E-10,4.66666666666674E-10,4.66666666666674E-10,4.66666666666674E-10,4.66666666666674E-10,4.66666666666674E-10,4.66666666666674E-10,4.66666666666674E-10,3.33E-11,2.33E-10,2.33E-10,1.67E-10,1.67E-10,1.67E-10,3.33E-11,3.33E-11,4.67E-10,4.67E-10,4.67E-10,2.33E-10,2.33E-10,0,0,0,0,0,0,0,0,0,0,0,0,1661241422.473,1661241437.624,1661241452.753,1661241467.855,1661241482.976,1661241483.528,1661241498.672,1661241513.804,1661241528.942,1661241544.071,1661241544.563,1661241559.697,1661241574.778,1661241589.94,1661241605.049,1661241605.689,1661241620.819,1661241635.969,1661241651.073,1661241666.205,1661241666.723,1661241681.871,1661241696.902,1661241712.08,1661241727.099
