BUILD,INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,MEM_USAGE,CPU_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THPRT_PROM_CI,RSP_PROM_CI,THRPUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX,STDEV_RESPTIME_MAX,WEB_ERRORS,THRPT_WRK_CI,RSP_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM
With MM enabled,1,206.215,16,6921.377289,353.459,0.127368,0.106039947366667,0.162955238344445,321,399,2.42,21.07,199.998,46.8423,1020,48.2,0,0.35,6.41,2.5,800M,2.5,800M
No MM enabled,1,,,,314.935,0.111984,0.081281022285185,0.17007601554051,291,348,,,193.326,37.977,843.06,51.84,0,7.06,9.37,2.5,800M,2.5,800M

