Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci,cpu_req,mem_Req,cpu_lim,mem_lim
1,267.117,953.667,395.64,0.495184,0.415050886502004,0.632145505563619,380,408,0,9,10.2,9.74,3.09,5.16,2.87,669,3.5,1024
1,296.35,845,467.742,0.535461,0.440528974556932,0.669661575357305,450,485,0,13,1.88,2.73,4.1,3.12,2.87,669,3.5,1024

