INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_97p,RESPONSE_TIME_99p,RESPONSE_TIME_99.9p,RESPONSE_TIME_99.99p,RESPONSE_TIME_99.999p,RESPONSE_TIME_100p,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,Gcpolicy
1,5750.9,19.717,4494.694224,0.840208,133.599,190.149,266.161,466.187,678.908,10663,20715.8,0.814724,645.13,0.471221085411111,1.03588010695556,559,776,3.36,35.48,5645.27,90.7389,3690,62.8444,0,2.52,2.47,1, 8192M ,1, 8192M , UseG1GC 
1,5539.67,22.4398,4366.767055,0.763493,107.236,133.794,196.3,343.343,452.362,569.987,20238.6,0.817259,244.407,0.469021095766667,1.01425951091482,224,262,9.61,60.44,5433.65,94.3044,792.72,57.9778,0,3.06,3.03,1, 8192M ,1, 8192M , UseZGC 
1,6052.95,20.8728,4613.92126,0.89931,113.818,162.276,206.39,377.616,525.835,10409.4,30000,0.808572,745.278,0.461973651103704,1.03460212618889,477,878,12.64,14.93,6114.84,83.7367,1410,53.0667,0,1.78,1.73,1, 8192M ,1, 8192M , UseParallelGC 
1,5525.74,29.092,4698.201973,0.8959,133.268,186.954,217.381,394.109,555.419,20230,30000,0.813165,240.678,0.444931267174074,1.04098185344444,225,253,1.22,3.4,5408.4,94.6933,3510,61.5089,0,2.14,2.09,1, 8192M ,1, 8192M , UseZGC 
1,6229.22,22.1791,3885.070648,0.78707,107.206,110.983,195.477,343.516,474.699,30000,30000,0.809265,724.864,0.435518951274074,1.06341616148148,548,893,3.76,23.68,6122.73,83.6478,692.06,54.4967,0,2.34,2.31,1, 8192M ,1, 8192M , UseParallelGC 
1,5749.68,25.2038,4687.977392,0.844815,116.484,185.986,212.545,406.917,10375.6,20288.1,30000,0.817042,636.615,0.501294288311111,1.02981442512593,477,757,0.6,28.2,5638.19,90.8478,700.45,59.5711,0,2.21,2.18,1, 8192M ,1, 8192M , UseG1GC 
1,6235.2,17.2235,4003.897704,0.749258,105.335,132.198,192.015,323.728,436.219,10363.4,20238.6,0.817036,746.599,0.461318555114815,1.0222898859037,528,957,1.91,45.56,6120.98,83.6644,603.98,53.8133,0,1.79,1.73,1, 8192M ,1, 8192M , UseParallelGC 
1,5440.75,20.3199,4448.445604,0.809833,136.426,168.311,279.014,475.884,656.012,10503.4,20477.2,0.817728,4817.35,0.464442803411111,1.01939016883333,2490,5045,3.87,33.11,5351.45,95.7544,3200,62.2778,0,2.76,2.76,1, 8192M ,1, 8192M , UseShenandoahGC 
1,5530.69,18.0135,4605.443452,0.72012,106.817,134.356,197.646,385.09,535.46,688.737,20328.1,0.816479,4806.19,0.415639546822222,1.04276178921111,2868,5054,4.88,15.02,5434.37,94.2489,897.58,59.9667,0,2.33,2.26,1, 8192M ,1, 8192M , UseShenandoahGC 
1,5455.33,24.3155,9634.612041,0.811682,136.924,171.093,250.423,446.199,642.456,10465.8,21193,0.819462,4817.94,0.484578757703704,1.04531578142222,3029,5038,1.25,27.86,5346.23,95.7967,3610,60.9189,0,2.05,2.03,1, 8192M ,1, 8192M , UseShenandoahGC 

