Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci
1,513.467,370.333,586.265,1.99037,1.89172050771687,2.12720507111444,567,605,0,45, ,7.63,13.35,1.17,2.92,1,513.467,370.333
2,609.517,255.167,603.915,2.1484,2.08622789760706,2.20544276921941,577,620,0,14, ,4.26,9.71,1.09,1.52,2,609.517,255.167
3,549.533,318.667,567.874,2.1109,1.88313569550422,2.19099910452653,550,577,0,24, ,5.81,13.64,1.76,2.63,3,549.533,318.667
4,572.311,294.667,586.808,2.13452,2.05937372338781,2.21195491200229,576,605,0,48, ,4.73,8.37,0.48,1.5,4,572.311,294.667
5,543.811,325.667,587.283,2.1213,2.04522759721216,2.20046495991912,566,614,0,27, ,3.7,7.12,1.69,1.44,5,543.811,325.667
6,560.478,298.444,586.636,2.07492,1.8011914782824,2.22133205068797,561,606,0,12, ,4.65,7.78,1.61,3.84,6,560.478,298.444
7,569.156,297.444,576.225,2.1294,2.08935062239772,2.19358384269293,557,592,0,26, ,3.11,6.13,1.11,0.88,7,569.156,297.444
8,603.856,264.667,585.997,2.1591,2.12100921016237,2.19241420142048,577,598,0,9, ,5.4,10.85,0.54,0.57,8,603.856,264.667
9,569.644,295.889,583.171,2.12506,2.06917052692379,2.18241577828273,559,607,0,24, ,4.52,9.78,1.64,0.77,9,569.644,295.889
10,542.6,324.889,589.859,2.15839,2.07973333407662,2.24183200395463,583,607,0,20, ,2.18,5.19,0.64,1.7,10,542.6,324.889
11,536.111,333.444,581.67,2.13933,2.08538434478432,2.21019385274419,542,619,0,34, ,3.96,6.65,2.94,0.97,11,536.111,333.444
12,556.889,313.667,584.82,2.12102,2.0248005180757,2.1947440257311,549,607,0,48, ,7.27,13,2.46,1.27,12,556.889,313.667
13,594.289,269.778,577.887,2.12685,2.0487663117952,2.21634877848835,566,601,0,47, ,3.87,7.3,1.46,1.34,13,594.289,269.778
14,593.556,269.667,585.552,2.11524,2.0683203221574,2.18067602185334,563,611,0,10, ,3.95,8.36,2.15,0.96,14,593.556,269.667
15,558.678,306,595.971,2.15108,2.10369329971072,2.19050165277948,578,618,0,26, ,2.94,5.79,1.1,0.55,15,558.678,306
16,561.778,307.556,568.894,2.1513,2.035315944936,2.27942016994853,537,593,0,48, ,6.71,13.2,2.4,1.73,16,561.778,307.556
17,589.311,274.556,588.563,2.15932,2.0699687581907,2.22997263767806,569,597,0,33, ,2.35,4.95,1.03,1.06,17,589.311,274.556
18,575.744,291.667,583.902,2.16918,2.10965049990235,2.22460026064625,568,595,0,19, ,4.36,9.63,0.81,0.89,18,575.744,291.667
19,599.711,268.444,590.679,2.12806,2.01631106603261,2.20114138646334,561,607,0,16, ,8.17,19.17,1.74,1.93,19,599.711,268.444
20,639.344,229.222,594.387,2.06364,1.96767718355288,2.18061617641122,587,612,0,11, ,2.5,4.29,0.62,1.9,20,639.344,229.222
21,605.611,259.889,577.53,2.13556,2.09217304557483,2.20761891683924,563,598,0,40, ,2.38,5.28,1.51,1.08,21,605.611,259.889
22,595.5,274.889,571.473,2.12338,2.06916055027757,2.18817502662334,551,592,0,31, ,4.98,9.03,2.01,1.24,22,595.5,274.889
23,593.944,270.222,581.868,2.12384,2.04671696761489,2.17336504063363,565,604,0,21, ,3.52,7.99,0.95,0.87,23,593.944,270.222
24,595.222,270.667,598.706,2.14294,2.09364870620828,2.22587136979624,568,622,0,42, ,2.06,3.66,2.19,1.37,24,595.222,270.667
25,592.967,275,584.781,2.16219,2.06228863319268,2.24139646036795,573,593,0,47, ,4.34,9.93,0.96,1.77,25,592.967,275
26,578.978,285.222,578.842,2.14925,2.0683050887808,2.20379464580639,555,590,0,35, ,3.1,7.72,1.37,0.86,26,578.978,285.222
27,585.744,277.222,577.109,2.10743,2.01539761918984,2.1837203850063,558,598,0,26, ,3.21,5.57,1.9,1.07,27,585.744,277.222
28,607.633,259.444,586.822,2.09176,2.00543983392481,2.21685859590867,565,629,0,42, ,7.03,16.06,2.79,1.85,28,607.633,259.444
29,587.711,281.444,571.512,2.1088,2.04127895819626,2.2068517755847,554,587,0,38, ,5.11,10,1.14,1.25,29,587.711,281.444
30,597.367,271.889,600.238,2.13452,2.07169477093539,2.23325885570995,557,647,0,42, ,4.37,9.47,3.97,1.18,30,597.367,271.889
31,608.667,257.111,593.79,2.08868,1.98016076797834,2.16028170222525,564,612,0,26, ,4.72,9.44,2.16,1.6,31,608.667,257.111
32,583.467,280.778,565.04,2.1078,2.01865777404344,2.17276602940727,535,592,0,41, ,6.18,11.52,2.52,1.19,32,583.467,280.778
33,579.911,284.667,578.709,2.14164,2.09148718805393,2.23106976329452,562,594,0,41, ,3.83,8.12,1.24,0.84,33,579.911,284.667
34,608.033,257.333,588.653,2.08548,1.99854589476341,2.19479513351159,564,602,0,23, ,4.01,6.98,1.33,1.49,34,608.033,257.333
35,582.8,280.889,578.773,2.12216,2.06551482211745,2.2045074913853,565,597,0,12, ,4.57,8.2,0.72,1.38,35,582.8,280.889
36,599.422,265.778,580.444,2.10025,2.05161110483702,2.16635785641344,554,598,0,22, ,4.64,9.96,1.84,1.03,36,599.422,265.778
37,584.433,278,572.352,2.12027,2.02989766347655,2.21942946755848,552,582,0,15, ,2.2,3.71,1.06,1.65,37,584.433,278
