BUILD,INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,MEM_USAGE,CPU_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THPRT_PROM_CI,RSP_PROM_CI,THRPUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX,STDEV_RESPTIME_MAX,WEB_ERRORS,THRPT_WRK_CI,RSP_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM
With MM enabled,1,205.029,14.5,7733.809504,327.131,0.137665,0.112025836398856,0.245108041344444,305,366,3.19,17.58,198.424,57.1672,7080,136.04,0,1.18,8.93,2.5,800M,2.5,800M
No MM enabled,1,,,,323.146,0.109984,0.095823410696296,0.13149403458812,291,377,,,199.453,36.0697,637.53,38.62,0,0.34,7.48,2.5,800M,2.5,800M

