TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
60,20754.7,3.41335,3381.103205,4.02013,846.887,3.57374712658396,4.19350530650741,631,1014,2.61,23.66,20316.9,25.1556,3490,34.0444,0,1.57,1.52,4,4096M,4,4096M,11,4030,8,70,425,38,174,6710,5.8,7,1728,104,16,25,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
72,20782.1,3.46678,3341.583814,3.95034,1736.87,3.62454815307201,4.24460292768519,1288,2166,2.84,39.23,20365,25.1233,3420,32.1511,0,1.92,1.88,4,4096M,4,4096M,5,9080,8,82,453,22,162,9600,6.5,5,959,114,15,36,8,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
194,20647.2,3.78681,3052.413948,3.97408,1083.19,3.50822341097741,4.17884333285926,909,1342,4.24,3.24,20274.5,25.2489,3390,32.7111,25341.1,2.05,1.99,4,4096M,4,4096M,3,0,10,48,413,21,64,5550,8.5,4,2151,169,4,33,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
18,20725.2,3.71176,3197.82363,3.95301,972.735,3.49944248827072,4.11393977902593,791,1263,1.14,28.53,18060,22.3478,3590,35.1212,0,28.87,28.87,4,4096M,4,4096M,8,2210,3,59,473,21,62,5320,15,5,1372,147,18,15,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
196,20360.3,3.77317,3103.52547,3.98957,809.888,3.64010098781243,4.1715037185,706,946,0.53,15.49,19982.1,25.6056,3390,33.9078,21546.7,1.88,1.82,4,4096M,4,4096M,2,50,10,48,421,17,64,6630,8.2,4,2135,171,4,33,10,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
33,20444.7,4.23794,2808.630456,3.98276,894.845,3.66244216956856,4.15275399235589,764,961,3.09,8.04,20011.5,25.5722,3310,33.0578,0,1.53,1.54,4,4096M,4,4096M,1,9050,7,52,466,23,104,7980,5.2,5,951,77,16,38,10,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
159,20883.4,3.83259,3173.932182,3.99563,1569.26,3.65181871523737,4.20267669784074,1198,2022,3.68,25.26,20445.9,25.0144,3510,33.7622,365.556,1.82,1.8,4,4096M,4,4096M,1,320,9,46,427,30,51,6910,10.9,5,4457,164,3,37,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
160,21015.2,3.70242,3312.531722,3.96271,1585.45,3.61448226210026,4.1346238975037,1232,2084,2.32,36.31,20581.8,24.8067,3410,34.8778,0,1.88,1.77,4,4096M,4,4096M,2,790,9,44,437,33,47,6290,12,5,4970,160,1,38,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
145,20962.3,3.49878,3506.598951,3.98904,890.533,3.64049873474465,4.12147802554444,810,989,3.56,16.3,20538.9,24.9189,1320,31.4678,658.889,1.7,1.69,4,4096M,4,4096M,1,280,10,48,471,29,36,7150,9.3,5,3735,160,5,21,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
157,21245.1,3.83308,3274.174474,3.98724,1527.29,3.61133728540769,4.14063857522963,1166,1981,5.38,15.96,20809,24.5533,3510,35.0478,0,2.16,2.09,4,4096M,4,4096M,3,1010,10,41,403,29,41,7710,11.5,5,4244,150,4,34,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
30,21392.1,3.33338,3796.110623,4.00805,818.972,3.65490606645149,4.21164751881852,729,1188,2.51,27.16,20925,24.4522,3320,31.84,0,1.72,1.69,4,4096M,4,4096M,4,4620,2,46,383,28,76,9920,11.1,3,3861,191,19,18,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
