Trial,memoryRequest,cpuRequest,gc,virtualized,shareclasses,aggressive,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
56,4092,3.8,optthruput,FALSE,TRUE,FALSE,1,147.567,1266.78,614.155,2.12662,1.80091134544815,2.49911958933401,535,704,3.8,4092.0M,3.8,4092.0M,0
99,3277,3.7,optthruput,FALSE,TRUE,FALSE,1,147.311,1305.33,584.082,2.07174,1.83359568643333,2.45212266200124,493,655,3.7,3277.0M,3.7,3277.0M,0
98,3595,3.8,gencon,FALSE,TRUE,TRUE,1,147.1,1284.56,587.395,2.15139,1.82428965162593,2.47865789540743,483,704,3.8,3595.0M,3.8,3595.0M,0
63,3998,3.9,balanced,FALSE,TRUE,FALSE,1,147.067,1291.89,581.861,2.17379,1.87125756829259,2.52519199711485,488,653,3.9,3998.0M,3.9,3998.0M,0
24,3691,4,balanced,FALSE,TRUE,FALSE,1,146.7,1290.67,613.733,2.24321,1.97957693427778,2.56951391436296,516,767,4,3691.0M,4,3691.0M,0
85,3762,3.9,gencon,FALSE,TRUE,TRUE,1,146.233,1270.33,613.983,2.18256,1.8071707226963,2.51643383243145,550,682,3.9,3762.0M,3.9,3762.0M,0
26,2796,3.7,optavgpause,FALSE,TRUE,TRUE,1,146.167,1313.78,604.305,2.07285,1.74066725597407,2.38097096537841,508,722,3.7,2796.0M,3.7,2796.0M,0
62,3756,4,balanced,FALSE,TRUE,FALSE,1,146.133,1317.44,577.357,2.25465,1.93321083168148,2.60277501978519,517,650,4,3756.0M,4,3756.0M,0
15,3551,3.7,balanced,FALSE,TRUE,FALSE,1,146.122,1284.22,591.384,2.08757,1.77599265337037,2.37261477213703,540,641,3.7,3551.0M,3.7,3551.0M,0
40,2602,3.7,optthruput,FALSE,TRUE,FALSE,1,145.156,1299.56,615.33,2.09652,1.88589083526296,2.41730957325936,486,729,3.7,2602.0M,3.7,2602.0M,0
51,3656,3.7,balanced,FALSE,TRUE,FALSE,1,144.811,1311.33,586.399,2.07528,1.79073693291111,2.38512245131481,498,674,3.7,3656.0M,3.7,3656.0M,0
94,3799,3.7,gencon,FALSE,TRUE,TRUE,1,144.711,1291.78,612.974,2.07605,1.77633201321852,2.43012740562726,562,689,3.7,3799.0M,3.7,3799.0M,0
22,4045,3.8,metronome,FALSE,TRUE,FALSE,1,144.689,1338.89,615.953,2.11811,1.8378266408037,2.44179334491481,529,697,3.8,4045.0M,3.8,4045.0M,0
31,4043,3.9,balanced,FALSE,TRUE,FALSE,1,144.3,1312.56,633.704,2.1703,1.84531696438519,2.51024464415185,568,702,3.9,4043.0M,3.9,4043.0M,0
25,3311,3.4,gencon,FALSE,TRUE,FALSE,1,144.056,1297.22,517.594,1.91899,1.66934573148148,2.24336049825003,475,581,3.4,3311.0M,3.4,3311.0M,0
81,3993,3.8,gencon,FALSE,TRUE,TRUE,1,144,1296.33,621.82,2.15787,1.87354810494815,2.45154982470792,555,729,3.8,3993.0M,3.8,3993.0M,0
59,3732,4,balanced,FALSE,FALSE,FALSE,1,143.222,1306.56,609.905,2.20706,1.94991007698148,2.53957654206296,543,728,4,3732.0M,4,3732.0M,0
88,4091,4,gencon,FALSE,TRUE,TRUE,1,142.522,1319.89,611.678,2.24159,1.86652237242222,2.58335691930741,541,676,4,4091.0M,4,4091.0M,0
44,2694,3.8,optthruput,FALSE,FALSE,FALSE,1,142.067,1348.44,591.965,2.13224,1.81551463864444,2.45494779215556,518,690,3.8,2694.0M,3.8,2694.0M,0
52,3582,3.9,metronome,FALSE,TRUE,FALSE,1,141.944,1334.67,618.581,2.20326,1.91894583545926,2.50999083591018,570,690,3.9,3582.0M,3.9,3582.0M,0
17,3077,3.6,metronome,FALSE,TRUE,FALSE,1,141.689,1384.67,591.106,2.02427,1.7158162843037,2.37516074295502,514,686,3.6,3077.0M,3.6,3077.0M,0
78,3703,3.6,gencon,FALSE,FALSE,FALSE,1,141.511,1367.78,578.246,2.01791,1.65973317238889,2.33003922404815,464,685,3.6,3703.0M,3.6,3703.0M,0
87,3847,4,gencon,TRUE,TRUE,TRUE,1,140.5,1342.56,578.624,2.23752,1.90690225673704,2.5453491451,526,665,4,3847.0M,4,3847.0M,0
80,1027,3.9,gencon,FALSE,TRUE,TRUE,1,140.444,1378.22,383.283,2.17651,1.83474967061852,2.50642953648148,379,397,3.9,1027.0M,3.9,1027.0M,0
