Response time(ms),50th percentile,,,95th percentile,,,97th percentile,,,99th percentile,,,99.9th percentile,,,99.99th percentile,,,99.999th percentile,,,100th percentile,
Iterations,Baseline,Autotune Config,,Baseline,Autotune Config,,Baseline,Autotune Config,,Baseline,Autotune Config,,Baseline,Autotune Config,,Baseline,Autotune Config,,Baseline,Autotune Config,,Baseline,Autotune Config
ITR-0,4.55,0.62,,84.54,8.43,,87.38,15.79,,97.65,81.68,,111.63,93.31,,186.72,115.48,,201.08,208.22,,30000.00,30000.00
ITR-1,4.45,0.62,,84.13,9.19,,87.09,67.77,,96.06,83.06,,111.51,98.31,,185.57,111.59,,200.24,190.95,,30000.00,223.70
ITR-2,4.49,0.63,,84.47,9.78,,87.37,69.66,,97.94,83.63,,111.71,98.69,,188.70,115.85,,203.88,191.54,,30000.00,1073.74

