INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_97p,RESPONSE_TIME_99p,RESPONSE_TIME_99.9p,RESPONSE_TIME_99.99p,RESPONSE_TIME_99.999p,RESPONSE_TIME_100p,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,Gcpolicy
1,20459.5,15.7529,2129.329775,3.99129,79.7467,84.5801,89.7248,111.375,174.837,200.024,30000,3.23396,325.429,2.01189050801543,4.03091753600741,319,338,0.9,5.2,20050,25.5167,285.21,28.9889,0,1.5,1.49,4, 8192M ,4, 8192M , UseSerialGC 
2,22681.3,7.51087,2606.38782,2.0074,67.9762,77.5035,86.2573,104.502,126.404,10121.9,30000,3.19885,1126.64,1.80112673973724,4.04887314876296,918,1290,8.21,46.55,22159,23.1078,3200,29.7744,0,2.89,2.87,4, 8192M ,4, 8192M , UseParallelGC 
3,20316.9,13.9452,1749.218772,3.40838,81.819,85.858,93.6269,111.5,185.061,10137.1,20119.3,3.20855,299.014,1.86410186845318,4.19710159540741,268,321,2.09,3.44,19894.6,25.7,3390,32.8767,0,1.71,1.7,4, 8192M ,4, 8192M , UseZGC 
4,20179,12.4205,2056.024379,3.01127,80.5496,85.1877,92.5641,111.406,186.547,20067.1,30000,3.19103,295.71,1.7337198728843,4.10365076112593,263,325,2.48,16.37,19770.5,25.88,3190,31.8267,0,1.89,1.87,4, 8192M ,4, 8192M , UseZGC 
5,22387.5,7.95889,1802.014751,2.14989,68.2646,77.2492,86.1689,104.402,129.288,20061.3,30000,3.21177,1250.85,1.95346770997855,4.09603226204815,1169,1374,1.36,15.28,21916.1,23.3378,3200,29.1011,0,1.5,1.48,4, 8192M ,4, 8192M , UseParallelGC 
6,20217.2,14.5761,2654.251279,3.73036,82.7317,86.6216,98.0233,116.389,197.337,20075.6,30000,3.21862,5100.62,1.82155288655152,4.06368807252222,4949,5160,3.4,16.93,19804.2,25.8311,3100,31.2522,0,1.67,1.66,4, 8192M ,4, 8192M , UseShenandoahGC 
7,22588.1,10.1419,2098.333951,2.76757,75.0978,81.4508,87.8037,108.224,141.391,196.352,30000,3.23101,1139.53,1.93821252136891,4.18984217261481,823,1405,0.85,19.5,22084.7,23.1622,3200,29.3856,0,1.56,1.56,4, 8192M ,4, 8192M , UseParallelGC 
8,20385.6,13.0279,2502.197729,3.24304,81.1354,85.7152,95.9792,113.63,195.901,10203,30000,3.25102,5082.1,1.85836980406773,4.1089275688963,4893,5139,3.77,14.06,19954.2,25.6356,3370,32.8756,0,1.93,1.89,4, 8192M ,4, 8192M , UseShenandoahGC 
9,21880.8,9.53854,1997.044606,2.50186,74.1678,80.8283,87.4888,107.239,139.327,20062.7,30000,3.22327,1200.43,1.72331203629603,4.17182238770741,851,1623,14.19,21.24,22119.7,23.1289,5100,31.1667,0,1.73,1.71,4, 8192M ,4, 8192M , UseParallelGC 
10,20261.5,13.6231,2988.001656,3.37551,82.1946,86.3477,97.5973,118.182,196.769,20090.6,30000,3.2227,5087.75,1.92721379550487,4.21133263813672,4967,5201,4.5,21.61,19801.1,25.84,3200,32.0533,0,1.82,1.84,4, 8192M ,4, 8192M , UseShenandoahGC 

