INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_97p,RESPONSE_TIME_99p,RESPONSE_TIME_99.9p,RESPONSE_TIME_99.99p,RESPONSE_TIME_99.999p,RESPONSE_TIME_100p,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,Gcpolicy
1,5630.98,24.9629,4800.089152,0.796642,126.945,184.508,225.517,384.483,537.183,10474.2,30000,0.814938,529.843,0.496628815533333,1.0107958527037,425,690,1.4,11.62,5528.41,92.6744,3610,59.8,0,2.59,2.57,1, 3072M ,1, 3072M , UseG1GC 
2,6243.38,17.0966,3996.111767,0.806451,107.855,134.698,196.385,361.253,506.553,666.078,20328.1,0.824033,904.908,0.482504345044444,1.03186074685843,748,931,0.95,35.59,6130.68,83.5267,603.98,58.0711,0,2.04,2,1, 3072M ,1, 3072M , UseParallelGC 
3,5480.62,24.8164,4199.601578,0.83146,134.212,187.982,234.866,398.021,566.751,30000,30000,0.809747,284.925,0.454793561877778,1.02287027355926,276,298,0.64,16.04,5395.73,94.94,3710,62.5433,0,2.47,2.41,1, 3072M ,1, 3072M , UseSerialGC 
4,5478.4,24.38,9586.193276,0.794443,109.551,184.679,226.626,401.639,573.045,764.08,30000,0.813735,294.114,0.479055830148148,1.05120895377778,282,309,2.35,13.89,5375.78,95.2944,1910,62.9911,0,2.17,2.14,1, 3072M ,1, 3072M , UseSerialGC 
5,6273.7,19.8596,4596.942704,0.814963,108.255,135.705,197.436,363.737,524.562,20217.2,27635.5,0.810584,793.387,0.459661007881482,1.02480924603333,568,937,4.33,63.72,6145.56,83.3544,3510,57.5167,0,2.26,2.19,1, 3072M ,1, 3072M , UseParallelGC 
6,5355.62,23.8701,4918.530671,0.809669,109.248,181.624,199.261,364.59,489.197,10459.7,25249.4,0.818899,233.177,0.446987105666667,1.02702896837778,215,244,4.38,18.96,5252.91,97.51,3590,61.4967,0,2.25,2.21,1, 3072M ,1, 3072M , UseZGC 
7,5245.96,28.7068,4707.620237,0.856661,133.899,186.723,223.834,390.075,530.539,757.412,20298.3,0.823904,239.087,0.455845366896296,1.01779787067407,221,256,4.17,36.22,5166.48,99.16,1090,61.3878,0,2.19,2.16,1, 3072M ,1, 3072M , UseZGC 
8,5202.79,26.3859,4528.878791,0.826209,135.06,186.526,230.498,380.865,533.211,10462.8,20268.4,0.820152,1955.01,0.4628726271,1.0345781822,1834,2007,1.06,48.42,5092.21,100.602,1000,67.0167,0,2.16,2.13,1, 3072M ,1, 3072M , UseShenandoahGC 
9,5581.72,22.6722,4242.027281,0.894095,140.995,191.508,238.853,421.178,589.719,10546.2,10745.7,0.818498,290.187,0.461552358762963,1.05657692952593,278,301,4.6,1.26,5472.74,93.5822,1490,62.2856,0,2.21,2.2,1, 3072M ,1, 3072M , UseSerialGC 
10,5057.51,23.9023,4307.152263,0.817002,152.38,190.929,243.717,410.027,527.859,10483.8,10626.3,0.818328,1950.63,0.49949196142963,1.03606784081111,1801,2022,3.11,15.55,4969.71,102.868,3790,71.4778,0,2.04,1.94,1, 3072M ,1, 3072M , UseShenandoahGC 

