Build 103-105,INSTANCES,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,MAXINLINELEVEL,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE
No MM,1,0.4296998,423.7193,0.370974088574074,0.640693666906849,396,473,2996.376,0.822927,734,12.1203,0,0.15,30.67,3,1024M,3,1024M,,,,,
With MM,1,0.473462,436.855,0.420394087007407,0.648970668480717,417,461,2995.32,0.854001,700.45,7.80267,0,0.08,17.43,3,1024M,3,1024M,,,,,
