TRIALS,THROUGHPUT,RESPONSE_TIME,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_98p,RESPONSE_TIME_99p,RESPONSE_TIME_999p,MEM_USAGE,CPU_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,thrpt_prom_ci,rsp_prom_ci,THROUGHPUT_wrk,RESPONSETIME_wrk,RESPONSETIME_MAX_wrk,STDEV_RESPTIME_MAX_wrk,WEB_ERRORS,thrp_wrk_ci,rsp_wrk_ci,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,maxinlinelevel,quarkustpcorethreads,quarkustpqueuesize,quarkusdatasourcejdbcminsize,quarkusdatasourcejdbcmaxsize
73,138.5,7,142.5,6.5,4260,4.00026,26.5088,37.5188,46.0221,113.541,356.131,0.192881,0.169204425504807,0.294994864518519,343,365,142.2,181.51,293.898,77.585,8860,58.08,0,3.46,83.49,1.12,579.0M,1.12,579.0M,12,5,583,8,33
74,129.5,7.5,127.5,7.5,2721,3.50054,30.0068,42.516,57.5073,160.53,344.001,0.189996,0.166594151161499,0.28947492542963,324,359,63.78,84.71,299.995,52.8517,1080,56.29,2641.67,1.07,10.06,1.19,633.0M,1.19,633.0M,14,19,358,7,31
75,114,10.5,105,11,5369,3.00032,41.5084,282.623,562.085,817.07,338.166,0.183846,0.158824520119562,.3082199468703704  325,353,601.86,665.55,,299.358,57.9217,2080,164.57,4136.67,0.57,16.1,1.34,526.0M,1.34,526.0M,16,3,289,6,32
76,83,12,84.5,12,2588,5.50042,32.0138,80.0353,217.038,432.177,280.99,0.154394,0,0.352361143401579,0,377,321.48,317.65,298.335,60.8217,3830,109.36,2563.33,0.62,11.99,1.27,751.0M,1.27,751.0M,20,8,420,5,29
77,93,10.5,100.5,10,3853,5.50042,37.0109,122.552,187.564,478.281,365.812,0.229086,0.163286954470876,.3684031405037037  340,395,259.58,302.52,,298.335,58.3233,1280,72.85,2090,0.68,14.39,1.48,609.0M,1.48,609.0M,23,6,311,6,35
78,98,13.5,91.5,13.5,3387,4.50099,69.0335,293.011,353.763,561.545,351.821,0.192432,0.161118067233333,0.311704584603704,327,373,661.23,705.89,298.542,57.015,1220,109.63,3866.67,0.53,12.23,1.05,667.0M,1.05,667.0M,14,7,229,8,28
79,153.5,6,159.5,5.5,4497,3.50054,24.5018,35.0121,45.5142,88.0143,333.14,0.204649,0.161037282379476,0.275235729839143,323,340,78.64,0,301.345,78.035,8250,985.4,1510,0.99,76.11,1.24,560.0M,1.24,560.0M,10,4,461,3,33
80,205,6.5,206,6,3060,2.50061,27.0085,70.0411,192.61,588.251,336.238,0.193144,0.140402701363614,0.282535642125,321,348,675.59,684.17,300.125,46.745,1800,65.98,3830,0.81,16.95,1.15,472.0M,1.15,472.0M,28,8,961,7,31
81,357.5,2.5,325.5,2.5,4625,0.999936,23.5105,46.5219,74.5303,191.561,338.902,0.192563,0.159509819696296,0.305130183113824,330,344,225.69,254.12,300.14,42.7983,1170,48.75,6271.67,0.91,10.85,1,583.0M,1,583.0M,12,5,193,5,30
82,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,589.0M,1.05,589.0M,12,5,267,5,30
