Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci
1,343.533,708.333,410.961,0.626698,0.49674784671799,0.817059168495237,389,426,0,149,1.35,2.33,3.91,11.07
2,341.467,713,406.634,0.739201,0.628924830639606,0.944281995370648,396,430,0,146,2.49,2.93,2.32,2.12
3,341.717,713,444.958,0.722912,0.603074740919824,0.912744631514626,425,466,0,129,1.56,1.77,4.29,4.32
4,341.983,713.833,397.526,0.660384,0.47187392611875,0.984536364961352,375,426,0,145,2.82,3.4,5.61,19.75
5,338.317,714.167,428.322,0.734564,0.603163905574342,0.913685677168114,396,453,0,147,1.64,2.16,6.13,4.09
6,342.017,714.333,425.903,0.621648,0.445110921782074,0.902159229166115,416,441,0,150,2.2,2.22,1.82,16.11
7,340.5,714.667,436.418,0.609256,0.45299844115289,0.878335077965135,409,460,0,125,1.31,1.61,6.08,15.38
8,341.7,715,394.45,0.653731,0.504729622551315,0.885490886855995,381,408,0,146,0.68,1.86,3.08,11.21
9,342.733,716.667,422.817,0.628811,0.480519678247768,0.855108408913335,411,459,0,150,1.73,1.43,3.85,11.26
10,336.617,717,396.873,0.601376,0.455785770702753,0.851692781903173,371,428,0,144,1.43,2.05,5.23,15.22
11,338.667,717.167,423.5,0.668738,0.506871281442237,0.89574292012132,402,448,0,143,4.76,5.2,3.72,12.72
12,340.05,717.167,407.758,0.626665,0.473556060250778,0.838422062984731,387,414,0,143,4.16,4.62,2.07,11.7
13,339.217,718.167,414.528,0.622775,0.442471580487305,0.873726942811262,395,437,0,132,1.35,2.01,4.21,15.42
14,337.1,718.833,406.512,0.619529,0.461408349446355,0.838255386115361,382,432,0,125,1.73,2.84,4.82,11.27
15,338.65,718.833,443.073,0.661233,0.581323518617293,0.810296210041417,412,472,0,136,0.96,1.29,7.26,2.65
16,339.1,720.333,414.19,0.642139,0.477899027278038,0.884898102598431,377,444,0,143,1.59,1.73,8.09,16.6
17,338.25,720.833,422.044,0.728382,0.604031575182682,0.914786306730676,400,447,0,150,1.34,1.28,5.29,6.12
18,336.567,722.667,424.068,0.610557,0.457247656812273,0.85591445414596,419,434,0,143,1.35,2.39,0.59,16.4
19,338.6,723,414.813,0.703882,0.566661568858668,0.881528029285809,378,449,0,150,2.08,2.43,8.82,8
20,335.533,723.167,396.072,0.636338,0.4632399879375,0.879214741775109,382,403,0,150,1.7,1.32,1.66,14.97
21,336.25,724.833,421.115,0.620582,0.445576102642422,0.891685733993471,410,441,0,143,1.4,1.76,2.09,17.86
22,335.783,725.667,405.964,0.616162,0.494296874212717,0.825135885204611,382,427,0,133,1.13,1.53,5.17,10.35
23,334.967,728.833,430.122,0.675238,0.576633757400969,0.856668848732749,403,452,0,129,1.76,2.94,5.78,5.29
24,333.117,729,0,0,0,0,0,0,0,95,1.8,1.45,0,0
25,335.533,729.167,425.35,0.604951,0.433048567976748,0.855574876633015,385,460,0,127,1.51,1.25,8.6,16.8
26,335.733,729.5,447.804,0.751638,0.615628476622889,0.949050620575926,414,511,0,141,3.54,4.32,8.14,4.9
27,334.417,731,461.841,0.594909,0.418175038176629,0.877785818890882,402,521,0,138,2.28,3.65,13.76,19.34
28,333.633,731.667,418.866,0.632302,0.456088368185397,0.920502287080404,399,432,0,139,1.6,2.05,3.26,20.36
29,333.717,733,424.805,0.73993,0.648206453080261,0.92605332318423,395,467,0,144,2.65,3.24,8.14,3.14
30,333.067,735.167,440.948,0.723504,0.613772700209666,0.895392857808223,387,488,0,136,2.19,2.26,12.24,3.44
31,331.717,736,0,0,0,0,0,0,0,93,1.56,1.49,0,0
32,328.283,736.833,0,0,0,0,0,0,0,135,1.68,1.88,0,0
33,330.9,737,406.984,0.691655,0.573999849785346,0.8636662694416,395,417,0,147,1.79,2.58,2.18,4.68
34,329.233,737,474.346,0.707363,0.604931666160395,0.887432459356759,472,477,0,147,5.51,3.57,0.44,2.09
35,332.45,737.333,447.824,0.627894,0.479048933035714,0.837620851781909,402,483,0,147,5.6,7.24,9.18,7.73
36,329.733,741.167,0,0,0,0,0,0,0,119,3,2.48,0,0
37,329.817,744.333,0,0,0,0,0,0,0,103,1.79,2.65,0,0
38,328.167,745.667,0,0,0,0,0,0,0,150,1.27,1.89,0,0
39,331.95,746.667,455.267,0.605795,0.451383852684536,0.85780018967909,424,474,0,150,3.47,4.53,4.84,16.54
40,327.833,748.667,0,0,0,0,0,0,0,104,1.76,2.2,0,0
