Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,WEB_ERRORS,MAXINLINESIZE,thrpt_ci,resp_ci,cpu_ci,mem_ci,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM
1,645.733,233.833,579.057,1.19579,.9156319821738748,1.4436024119414672,568,586,35.187,28.4051,0,35,2.67,6.41,1.27,2.84,2.87,669,3.5,1024
1,686.467,207.667,633.326,1.15409,.9293658940634867,1.3749094069470726,606,665,35.2734,28.7796,0,58,3.49,7.11,3.56,2.12,2.87,669,3.5,1024
