Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,WEB_ERRORS,MAXINLINESIZE,thrpt_ci,resp_ci,cpu_ci,mem_ci,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM
65,666.383,221,614.567,1.17446,0.95083563642,1.41469391560948,607,625,34.9293,27.5816,0,66,3.77,7.56,1.16,2.9,2.87,669,3.5,1024
66,639,246.833,600.523,1.22422,0.943611483,1.44457763650472,591,612,34.9568,27.9984,0,68,4.62,9.36,0.94,3.05,2.87,669,3.5,1024
67,637.717,244.333,620.649,1.17197,0.938301481120766,1.3813802206871,612,628,35.1011,28.0807,0,75,4.58,10.82,0.53,3.99,2.87,669,3.5,1024
68,657.45,228.833,608.768,1.14882,0.899220826004569,1.36431307390228,590,631,35.0675,27.4826,0,66,2.02,3.7,2.42,3.16,2.87,669,3.5,1024
69,639.817,243.167,608.504,1.15927,0.95209316260875,1.37887585973412,599,611,35.0456,27.6889,0,58,4.22,8.42,0.4,1.61,2.87,669,3.5,1024
70,654.367,232.5,632.705,1.16197,0.89761366393252,1.35903561284299,621,641,35.0987,26.9732,0,69,7.35,17.74,1.34,3.09,2.87,669,3.5,1024
71,610.1,272.5,631.63,1.24036,0.962672865185656,1.46149701420521,601,667,35.1686,28.5163,0,80,6.67,14.69,4.82,4.08,2.87,669,3.5,1024
72,671.733,219,625.203,1.15718,0.962047519549578,1.3525702304748,617,637,34.9436,27.7323,0,64,4.04,8.53,1.3,1.75,2.87,669,3.5,1024
73,672.517,217.167,623.55,1.18088,0.977387032433263,1.38297149317716,597,641,34.9175,27.6692,0,75,3.66,7.6,3.18,1.99,2.87,669,3.5,1024
74,657.217,227.833,619.507,1.17499,0.937643010209198,1.39572973512106,605,635,34.7683,28.7275,0,75,4.81,10.51,1.63,3.12,2.87,669,3.5,1024
75,599.767,276.5,589.765,1.17444,0.974524819306753,1.41217467790108,578,601,34.6046,27.9403,0,10,6.64,16.18,1.61,2.19,2.87,669,3.5,1024
76,621.7,261.833,604.048,1.1877,0.92302072841625,1.41306680388582,592,611,34.7376,28.6907,0,65,7.55,14.52,0.97,2.72,2.87,669,3.5,1024
77,623.75,255,600.289,1.08047,0.877257864666664,1.30030731380355,584,612,34.8132,28.9987,0,51,7.83,16.58,2.03,3.71,2.87,669,3.5,1024
78,649.383,231.167,644.538,1.20565,0.93306665715375,1.39495511797038,628,657,34.8877,28.3805,0,84,5.87,12.79,1.53,2.83,2.87,669,3.5,1024
79,632.017,249.5,610.382,1.17773,0.894640948995,1.44405176576023,599,627,34.8479,27.9466,0,55,2.71,5.67,1.75,3.97,2.87,669,3.5,1024
80,631.35,247.167,581.274,1.14282,0.8492515861125,1.37965064613091,550,592,34.535,27.9839,0,60,3.83,8.99,1.22,4.51,2.87,669,3.5,1024
81,635.45,242.667,641.991,1.15025,0.97311816456893,1.3578249593494,613,666,34.688,27.7192,0,89,3.61,7.22,3.76,2.92,2.87,669,3.5,1024
82,640.383,245.333,629.691,1.1694,0.953454989981616,1.39815630686287,627,639,34.7951,27.8821,0,72,7.67,16.94,0.34,4.1,2.87,669,3.5,1024
83,657.95,225.167,630.288,1.15906,0.94315011316742,1.35217620683221,610,650,34.8295,27.7015,0,70,5.44,12.47,2.86,1.98,2.87,669,3.5,1024
84,630.233,251.333,608.085,1.14503,0.89764349835,1.3526803825699,598,621,34.5553,27.6924,0,76,3.41,6.03,1.68,2.84,2.87,669,3.5,1024
85,632.983,245.667,583.779,1.10487,0.82131564967875,1.31222467061552,567,594,34.3163,27.7684,0,15,5,11.42,1.97,4.82,2.87,669,3.5,1024
86,654.067,230.5,630.039,1.10038,0.85770250900875,1.3403413236298,611,648,34.5026,28.2576,0,63,3.97,8.19,2.43,4.85,2.87,669,3.5,1024
87,641.667,241.5,602.807,1.14216,0.887432693409989,1.34150799862227,582,620,34.4565,27.9221,0,46,5.19,11.5,2.97,2.54,2.87,669,3.5,1024
88,664.417,223.667,585.365,1.14999,0.930570365008396,1.36410997424768,575,595,34.5033,27.6274,0,68,2.04,5.36,1.43,3.41,2.87,669,3.5,1024
89,660.95,226.5,629.431,1.15192,0.94356034483225,1.37686867183604,621,641,34.6655,28.0553,0,78,5.32,10.8,0.93,2.25,2.87,669,3.5,1024
90,651.383,236.5,646.581,1.16672,0.861190429905,1.38668793728996,625,657,34.6789,27.6838,0,68,4.6,10.68,1.69,4.22,2.87,669,3.5,1024
91,642,243.167,613.642,1.13605,0.922665836570391,1.35001206647025,601,623,34.7119,27.9988,0,74,8.41,19.16,1.37,2.37,2.87,669,3.5,1024
92,639.767,243.833,609.032,1.15082,0.90181035577125,1.34577275818205,593,622,34.6641,27.696,0,65,4.83,9.68,1.64,2.95,2.87,669,3.5,1024
93,648.583,237.667,607.225,1.15084,0.903346866469937,1.35097151587549,591,622,34.5438,28.2828,0,70,3.51,8.12,2.03,3.11,2.87,669,3.5,1024
94,673.45,214,595.786,1.22729,0.926260249318663,1.5351368895477,569,623,34.4409,27.8577,0,58,6.16,14.98,3.82,7.07,2.87,669,3.5,1024
95,727.833,176,608.24,1.28646,1.05637737662618,1.53785497580169,597,614,34.7453,28.4104,0,58,4.01,11.28,1.12,2.19,2.87,669,3.5,1024
96,670.65,217.5,594.862,1.16518,0.920737737366062,1.40941444420577,581,603,34.888,27.9207,0,58,3.52,6.96,1.06,3.77,2.87,669,3.5,1024
97,669.267,222,600.748,1.18032,0.9494235955725,1.3891306275277,576,630,34.9359,28.6976,0,56,4.69,9.78,3.94,2.58,2.87,669,3.5,1024

