TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
75,38917.6,1.51571,1896.936231,3.20074,1332.59,1.73860289098515,4.04765397985926,990,1649,4.01,17.18,38045.4,13.4556,687.87,24.4144,0,2.23,2.22,3.92,4010M,3.92,4010M,9,5410,12,70,478,35,189,4210,1.7,6,4537,124,13,18,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
72,38523.9,1.57585,2012.537779,3.16431,1134.87,1.80084587912944,4.04716012422963,848,1683,3.59,13.65,37664,13.5933,901.78,25.1622,0,2.31,2.28,3.89,3906M,3.89,3906M,8,5680,12,60,470,37,150,4200,3.3,8,4573,123,12,14,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
67,38545.9,1.58194,1798.180973,3.13532,1153.43,1.68740547139789,4.06984641478148,863,1525,5.45,36.67,37736.9,13.5689,687.87,25.2056,0,2.71,2.72,3.88,3357M,3.88,3357M,7,6220,12,55,345,37,157,4120,2.2,7,4339,228,12,13,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
73,38013.2,1.59085,2094.480654,3.12946,1187.16,1.67065288471829,4.00671528895556,946,1550,1.33,7.82,37159.7,13.7711,624.95,24.7367,0,2.01,1.97,3.87,4026M,3.87,4026M,7,5860,12,71,471,37,181,4140,1.7,7,4508,116,13,14,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
21,39564.7,1.60774,2395.493934,3.21408,1194,1.82003980122252,4.15686516143704,833,1278,2.6,26.97,38545.5,13.2767,713.03,24.8711,0,2.26,2.23,4,1494M,4,1494M,5,2700,12,39,326,39,98,3770,8.3,8,4998,249,5,4,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
99,38439,1.61018,1793.926251,3.20231,1132.02,1.84530998539277,4.16400488405556,925,1482,2.13,5.8,37644.9,13.5956,509.61,24.7222,0,2.15,2.11,3.96,3815M,3.96,3815M,15,6280,11,62,499,37,133,4480,1.4,6,3997,155,13,16,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
86,38314.1,1.62251,2289.132415,3.12428,1277.9,1.76703058007181,3.95304071675926,930,1555,11.27,23.1,37521.5,13.6611,511.71,25.0378,0,3.59,3.63,3.92,3810M,3.92,3810M,9,4980,12,64,468,35,199,4140,3.5,7,4492,102,13,15,4,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
82,39212.1,1.63837,1781.462074,3.12332,1341.26,1.93948645252253,4.11277750334815,902,1734,12.59,23.43,38298,13.3878,826.28,24.99,0,4.01,3.98,3.92,3498M,3.92,3498M,7,6010,12,70,475,38,152,4140,2,7,4477,132,12,18,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
91,36846.3,1.64354,3834.744012,3.12984,1140.71,1.73533002333191,3.93805957372963,943,1634,14.53,9,37185.8,13.7633,893.39,25.1956,0,2.22,2.18,3.93,3949M,3.93,3949M,13,5850,11,73,478,36,167,3890,2.5,6,4098,126,11,18,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
83,38036.9,1.67301,1991.000942,3.17642,1372.96,1.87875225073868,4.10592890238519,1037,1742,4.66,8.8,37142.5,13.7833,893.39,25.2678,0,2.48,2.46,3.91,3491M,3.91,3491M,7,5990,12,70,476,35,151,4240,2,7,4255,130,13,15,5,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
