INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin ,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
1,41726.7,1.43815,2940.607161,3.26304,1144.01,1.75956864934867,4.10311844733898,761,1561,7.88,10.35,40667.1,12.5889,497.03,22.02,0,2.49,2.49,4,3962M,4,3962M,6,6790,5,81,393,23,141,2270,13.4,6,1712,199,11,5,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,40723.7,1.63203,3160.090524,3.21524,1100.36,1.80388765113927,4.0884993900963,1021,1127,18.47,23.38,41076.1,12.4611,486.54,20.3211,0,2.01,2.02,4,3962M,4,3962M,6,6790,5,81,393,23,141,2270,13.4,6,1712,199,11,5,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39627.3,1.83194,3809.693554,3.14395,1248.53,1.83002687910131,3.92106952386667,896,1691,3.86,33.6,38663,13.2378,490.73,21.5111,0,1.91,1.91,3.85,3350M,3.85,3350M,9,7800,3,87,451,30,184,7170,11.1,7,1062,60,14,21,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39861.5,1.55882,3629.228204,3.12808,1020.06,1.66526189583055,3.9702477972,824,1178,5.06,29.09,38940,13.1478,486.54,22.7222,0,2.42,2.4,3.91,3706M,3.91,3706M,3,6790,6,79,418,26,153,6860,10.8,6,1511,35,13,19,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
